PWN ID,English Lemmas,English Gloss,English Examples,Arabic lemmas or GAP,Arabic Gloss,Arabic Examples,Deleted lemmas,New lemmas,Phrase,Synset after cleaning_cleaned lemmas or GAP
86488,fast,quickly or rapidly (often used as a combining form),how fast can he get here?; ran as fast as he could; needs medical help fast; fast-running rivers; fast-breaking news; fast-opening (or fast-closing) shutters,"[مُسْرِع]، (سريع)",بطريقة سريعة (تستخدم في عبارة مركبة),نهر سريع الجريان. افتتاح سريع للمركز . أخبار عاجلة سريعة الوصول,مُسْرِع,سريع,,سريع
101601,far,at or to or from a great distance in space,he traveled far; strayed far from home; sat far away from each other,بَعِيد,"في، إلى أو من مسافة كبيرة وبعيدة في الزمان أو المكان",ما زال المكان بعيداً من هنا. سافر بعيداً عن بلده,,,,بَعِيد
104448,forth,out into view,came forth from the crowd; put my ideas forth,مُتَقَدِّمَاً,من مكان ما إلى مكان آخر للأمام بحيث يمكن رؤيته,انطلقت السفينة متقدمة من الميناء. خرج من بين الحضور متقدماً إلى المسرح,,,,مُتَقَدِّمَاً
105032,"at the least, at least",not less than,at least two hours studying the manual; a tumor at least as big as an orange,GAP,إشارة إلى أن الموجود أو المذكور حالياً هو أقل ما يمكن بالعدد أو النوع,سأدفع نصف الأجرة على الأقل. اغسل الصحون على الأقل,,,على الأقل,GAP
105215,"at most, at the most",not more than,spend at most $20 on the lunch,[على  أكْثَر تَقْدِير],إشارة إلى أن الموجود أو المذكور حالياً هو أكثر شيء ممكن بالعدد أو النوع,سيحتاج العمل أسبوعاً على الأكثر. سيكلف هذا عشرين دولاراً على الأكثر,على  أكْثَر تَقْدِير,,على الأكثر,GAP
107608,"normally, unremarkably, usually, commonly, ordinarily",under normal conditions,usually she was late,"عَادَةً, [غَالِبَاً],[ بِشَكْلٍ عَادِي]",يحدث بطريقة معتادة ومتوقعة ومنتظمة في معظم الأوقات,يخرج دون تناول الإفطار عادةً. كانت تتأخر عادةً. يذهب إلى عمله سيراً على الأقدام بشكل اعتيادي,"غَالِبَاً, بِشَكْلٍ عَادِي",,بشكل اعتيادي,عَادَةً
117417,together,at the same time,we graduated together,"سَوِيَّةً, مَعًا",مع بعضهم البعض في نفس الوقت,ردد التلاميذ سوياً. اخلط الخضار معاً في الوعاء. يجب أن نلتقي مع بعضنا البعض. ,,,مع بعض,"سَوِيَّةً, مَعًا"
118527,"and so, then, so, and then",subsequently or soon afterward (often used as sentence connectors),"then he left; go left first, then right; first came lightning, then thunder; we watched the late movie and then went to bed; and so home and to bed","[بَعْدَئِذٍ], ثُمَّ"," يأتي مباشرة بعد الشيء الحاضر يكون تالياً أو نتيجة له، وتستخدم كلمات للربط",ذهب إلى البنك ثم إلى السوق. سأتدرب جيداً ومن ثم أصبح متمرساً. سأكتب المقال بعد ذلك سأنشره ,بَعْدَئِذٍ,,"بعد ذلك، ومن ثم", ثُمَّ
119149,volumetrically,with respect to volume,analyzed volumetrically,حَجْمِيَّاً,بشكل يخص قياس الحجم ثلاثي الأبعاد,تحليل مكونات المادة حجمياً. تقنية العرض بشكل حجمي,,,بشكل حجمي,حَجْمِيَّاً
124579,ethnically,with respect to ethnicity,the neighborhood is ethnically diverse,عِرْقِيَّاً,بشكل يتعلق بالعرق من حيث الانتماء إلى مجموعة معينة من الناس تشترك في الثقافة واللغة والتاريخ والعادات,مجموعات مترابطة عرقياً. بلدة متنوعة عرقياً,,,,عِرْقِيَّاً
125333,injuriously,in an injurious manner,, [بِشَكْلِ تَجْرِيْحِي],بطريقة تسبب الأذى والضرر,أثرت العملية عليها بشكل مؤذٍ. ,بِشَكْلِ تَجْرِيْحِي,,بشكل مؤذٍ,GAP
127522,socially,in a social manner,socially unpopular,إِجْتِمَاعِيَّاً,بشكل له علاقة بالمجتمع أو بالمواقف الاجتماعية,شخصية معروفة اجتماعياً. تصرف غير مقبول اجتماعياً,,,,إِجْتِمَاعِيَّاً
128223,temporally,with regard to temporal order,temporally processed,"مَرْحَلِيَّا, [زَمَانِي], مَرْحَليّ, زَمَنِي, [وَقْتِي]",بشكل له علاقة بالترتيب الزمني حيث يكون محدوداً به,يتم التقويم مرحلياً. عملية متواصلة زمنياً.   يكون التأثير زمنياً ,"زَمَانِي,وَقْتِي",,,"مَرْحَلِيَّا, مَرْحَليّ, زَمَنِي"
128750,therapeutically,for therapeutic purposes,,"عِلاجِيَّاً, [دَوَائِيَّاً]",بطريقة تخص علاج الأمراض أو الحالات الطبية,دواء فعال علاجياً. إنه من أكثر المواد الآمنة علاجياً,دَوَائِيَّاً,,,عِلاجِيَّاً
129340,verbally,by means of language,verbally expressive,"[حَرْفِيَّا], لَفْظِيَّا, شَفَهِيَّا",بطريقة تستخدم فيها اللغة  لفظاً وكلاماً بدل الكتابة, تم العقد لفظياً. عبر عنه شفهياً.,حَرْفِيَّا,,," لَفْظِيَّا, شَفَهِيَّا"
130685,bacterially,by bacteria,spreads bacterially,"[عَن طَرِيْقٍ الْبَكْتِيْرْيَا], بَكْتِيْرِيَّاً, [عَلَى نَحْوٍ بَكْتِيْرِيّ], [عَن طَرِيْقٍ الجَرَاثِيم], جُرْثُوْمِيَّاً",يحدث وتسببه البكتيريا ,تنتشر العدوى بكتيرياً. النمو جرثومياً. مواد تقتل العفن المنتشر بواسطة البكتيريا,"عَن طَرِيْقٍ الْبَكْتِيْرْيَا,عَلَى نَحْوٍ بَكْتِيْرِيّ,عَن طَرِيْقٍ الجَرَاثِيم",,بواسطة البكتيريا," بَكْتِيْرِيَّاً, جُرْثُوْمِيَّاً"
131326,spatially,with regard to space,spatially limited,"[حَيِّزِيَّاً], [فَضَائِيَّاً], مَكَانِيَّاً",على نحو له علاقة بالموقع والمساحة والحجم,منطقة محدودة مكانياً. لا يعرف الطريق ومشوش مكانياً.,"حَيِّزِيَّاً,فَضَائِيَّاً",,, مَكَانِيَّاً
131610,"lingually, linguistically",with respect to language,linguistically impaired children; a lingually diverse population,"[لِسَانِيَّا], لُغَوِيَّا",على نحو له علاقة باللغة وعلومها.,بيانات هامة لغوياً. سكان متنوعون لغوياً,لِسَانِيَّا,,, لُغَوِيَّا
136477,nationally,with regard to a nation taken as a whole,a nationally uniform culture,"[قَوْمِيَّا], وَطَنِيَّا","بواسطة أو إلى كل فرد في الأمة، على نحو يتعلق بالأمة ككلّ",إعلان تم عرضه وطنياً. شخصية مشهورة وطنياً,قَوْمِيَّا,,, وَطَنِيَّا
137279,sexually,by sexual means,reproduce sexually,"[تَنَاسُلِيَّاً], جِنْسِيَّاً",على نحو جنسي وبوسائل جنسية,تتكاثر الثدييات جنسياً.,تَنَاسُلِيَّاً,,, جِنْسِيَّاً
137473,lexically,by means of words,lexically represented,"[عَلَى نَحْوٍ قَاموسِيّ],[ بِشَكْلٍ مُعْجَمِيّ], [قَامُوسِيَّاً], [عَلَى نَحْوٍ مُفْرَدَاتِي], مُعْجَمِيَّاَ",على نحو له علاقة بكلمات ومفردات اللغة والتي تتميز بشكلها النحوي والتركيبي,تمييز الكلمات معجمياً. مفردات متشابهة معجمياً,"عَلَى نَحْوٍ قَاموسِيّ, بِشَكْلٍ مُعْجَمِيّ,قَامُوسِيَّاً,عَلَى نَحْوٍ مُفْرَدَاتِي",,, مُعْجَمِيَّاَ
139421,"likely, in all probability, belike, probably, in all likelihood",with considerable certainty; without much doubt,He is probably out of the country; in all likelihood we are headed for war," رُبَّمَا,  [عَلَى أَغْلَب الظَّن]",متوقع الحدوث أو صحيح أوليس فيه مجال كبير للشك,ربما هو خارج البلاد. من المحتمل أن تكون الإجابة صحيحة. على الأرجح سأعود غداً. من المتوقع فوزه في السباق. من المرجح هطول المطر غداً.,عَلَى أَغْلَب الظَّن,,"من المحتمل، من المرجح، من المتوقع، على الأرجح", رُبَّمَا
143696,humanly,in the manner of human beings,humanly possible,إِنْسَانِيَّاً,"على نحو يمكن القيام به بواسطة البشر، أو ضمن حدود قدرتهم ومعرفتهم",بذلوا كل ما استطاعوا إنسانياً لإنقاذ حياته. ليس من الممكن إنسانياً توقع المستقبل,,,بِشَكْلٍ إِنْسَانِي,إِنْسَانِيَّاً
148422,such,to so extreme a degree,he is such a baby; Such rich people!,هَائِل,إلى درجة كبيرة,إنهم مزعجون بشكل هائل,,,,هَائِل
154814,"mindfully, heedfully, advertently",in a careful deliberate manner,,"[بِإِعْتِنَاء], بِعِنَايَة, بِاِهْتِمَام",على نحو يبدو فيه الاهتمام والرعاية,عليك حمل الصغير بعناية.  احرس المكان باهتمام,بِإِعْتِنَاء,,," بِعِنَايَة, بِاِهْتِمَام"
172731,"on the way, en route",on a route to some place,help is on the way; we saw him on the way to California,GAP,إشارة إلى قرب قدوم الشيء إلى مكان ما,شاب التوصيل قادم على الطريق. أنا في الطريق إلى العمل,,,"في الطريق، على الطريق",GAP
177405,"inversely, reciprocally",in an inverse or contrary manner,"inversely related; wavelength and frequency are, of course, related reciprocally""- F.A.Geldard","تَبَادُلِيَّا, عَكْسِيَّا",على نحو معاكس أو متبادل (بشكل متعادل) للأشياء,تتم التجارة تبادلياً بين البلدين. يتناسبان عكسياً,,,,"تَبَادُلِيَّا, عَكْسِيَّا"
182828,once,as soon as,"once we are home, we can rest","عِنْدَمَا, حَالَمَا, حِيْنَ, [فِي حِين]",في وقت حدوث الشيء مباشرة,عندما تحدثَت عرفها فوراً. حالما يعود للمنزل أستطيع النوم. حين خروك من المنزل تأكد من إغلاق الباب . ما إن ينتهي الربيع حتى ترتفع درجات الحرارة. ,فِي حِين,,ما إن,"عِنْدَمَا, حَالَمَا, حِيْنَ"
187053,emotionally,with regard to emotions,emotionally secure,عَاطِفِيَّا,على نحو مفعم بالمشاعر والعواطف.,مضطرب عاطفياً. تثيرني الأغنية عاطفياً,,,,عَاطِفِيَّا
190913,someday,some unspecified time in the future,someday you will understand my actions,GAP,في وقت ما في المستقبل غير معروف بعد ولم يُذكر, سأحقق أحلامي يوماً ما. سنلتقي يوماً ما.,,,يوماً ما,GAP
198594,o'clock,according to the clock,it's three o'clock in Tokyo now,"[السَّاعَة], [حَسْب السَّاعَة], [وِفْقَا للسَّاعَة]",إشارة إلى الساعة بعد دورة كاملة,إنها الثالثة على رأس الساعة بتوقيت واشنطن,"السَّاعَة,حَسْب السَّاعَة,وِفْقَا للسَّاعَة",,(على رأس الساعة),GAP
199833,"tactually, haptically",by touch,he perceives shapes tactually,"لَمْسَا,[ لَمْسِيَّا]",بطريقة اللمس وباستخدام الحواس اللمسية,يدرك الأشياء لمساً, لَمْسِيَّا,,,لَمْسَا
215173,"productively, fruitfully, profitably",in a productive way,they worked together productively for two years,"[بِشَكْل مُكْسِب], [بِشَكْل مُثْمِر], [عَلَى نَحْو مُكْسِب], [عَلَى نَحْو مُفِيد]",على نحو له نتائج إيجابية بشكل كبير,يدخر ماله على نحو مثمر.. يستثمر وقته بشكل مفيد,"بِشَكْل مُكْسِب,بِشَكْل مُثْمِر,عَلَى نَحْو مُكْسِب,عَلَى نَحْو مُفِيد",,"على نحو مثمر، بشكل مفيد",GAP
215382,"unproductively, fruitlessly, unprofitably",in an unproductive manner,,"<عَلَى نَحْو غَيْر مُثْمِر>,[ عَلَى نَحْو غَيْر مُكْسِب],[ بِشَكْل غَيْر مُثْمِر], <عَلَى نَحْو غَيْر مُفِيد>,[ بِشَكْل غَيْر مُفِيد], [بِشَكْل غَيْر مُكْسِب]",على نحو لا يجدي نفعاً ونتائجه سلبية وليس لها قيمة,انتهت المحادثات بشكل غير مثمر. عمل جاهداً ولكن بشكل غير مفيد," عَلَى نَحْو غَيْر مُكْسِب, بِشَكْل غَيْر مُثْمِر, بِشَكْل غَيْر مُفِيد,بِشَكْل غَيْر مُكْسِب","عَلَى نَحْو غَيْر مُثْمِر,عَلَى نَحْو غَيْر مُفِيد",,"عَلَى نَحْو غَيْر مُثْمِر,عَلَى نَحْو غَيْر مُفِيد"
225476,violently,in a violent manner,they attacked violently,بِعُنْف,باستخدام القوة الشديدة التي تسبب الأذى ,غضب وضرب على الطاولة بعنف. ,,,,بِعُنْف
230340,mentally,in your mind,he suffered mentally,"عَقْلِيَّا, دِهْنِيَّا","بشكل له علاقة بالنشاط الذهني، يحدث بواسطة العقل أو يكون داخله", قوي عقلياً. مسألة رياضية محفَّزة ذهنياً.,,,,"عَقْلِيَّا, دِهْنِيَّا"
235417,"aside, by, away",in reserve; not for immediate use,started setting aside money to buy a car; put something by for her old age; has a nest egg tucked away for a rainy day,"[عَلَى حِدَة], جَانِبَا",بطريقة توفر المال أو الأشياء للأوقات الصعبة وليس للاستخدام الحالي,بدأ يدخر المال جانباً لشراء منزل. يجب أن أوفر شيئاً ما جانباً لأجده عند الحاجة,عَلَى حِدَة,,, جَانِبَا
239560,"unwittingly, unknowingly, inadvertently",without knowledge or intention,he unwittingly deleted the references,"[عَلَى نَحْو عَفْوِيّ],[ بِطَرِيق السَّهْو], (سهواً)",على نحو غير مقصود ودون إدراك أو معرفة,حذفت الملف بدون قصد. تركت مفاتيحي سهواً,"عَلَى نَحْو عَفْوِيّ, بِطَرِيق السَّهْو",سهواً,بدون قصد,سهواً
240791,afoot,on foot; walking,they went to the village afoot; quail are hunted either afoot or on horseback,مَشْيَاً,بواسطة السير على الأقدام,أذهب إلى عملي مشياً على الأقدام,,,,مَشْيَاً
241635,"each, to each one, for each one, apiece, from each one",to or from every one of two or more (considered individually),they received $10 each, كُلّ,من كل فرد أو لكل فرد من اثنين أو أكثر,حصل كل فرد على مبلغ جيد. لكل طفل نصيب من اللعب. على كل واحد أن يقوم بمسؤولياته. سأستلم العمل من كل واحد بحلول نهاية الأسبوع,,,"لكل واحد، كل واحد، من كل واحد", كُلّ
245397,"south, in the south, to the south",in a southern direction,we moved south,جَنُوبَاً,في أو نحو الاتجاه الجنوبي,اتجه جنوباً لتصل إلى الملعب. تقع البرازيل في جنوب المكسيك,,,"نحو الجنوب، إلى الجنوب، في اتجاه الجنوب، في الجنوب.",جَنُوبَاً
245502,"north, northerly, northwards, northward, to the north, in the north",in a northern direction,they earn more up north; Let's go north!,GAP,في أو نحو الاتجاه الشمالي,اتجه نحو الشمال. تقع كندا إلى شمال الولايات المتحدة. تنخفض الحرارة كلما اتجهت شمالاً,,,"نحو الشمال، إلى الشمال، باتجاه الشمال، نحو جهة الشمال",GAP
256007,deathly,in the manner of death,he was deathly pale,"مُمِيت,[ شَبِيه بِالمَوْت]",على نحو يمكن أن يسبب الموت أو يكون شبيهاً بالموت,كان شاحباً بشكل مميت. طقس بارد بشكل مميت, شَبِيه بِالمَوْت,,,مُمِيت
268751,adjectively,as an adjective,nouns are frequently used adjectively,GAP,يستخدم على أنه صفة لشيء ما ,كثيراً ما تستخدم الأسماء بشكل نعتي. تستخدم الأحوال بشكل صفة للأفعال,,,"على شكل صفة، بشكل نعتي.",GAP
268865,adverbially,as an adverb,the prepositional phrase here is used adverbially,"ظَرْفِيَّاً, كَظَرْف",يستخدم على أنه ظرف ,"كلمة ""هنا"" تستخدم ظرفياً لبيان المكان. كلمة ""مساء "" تستخدم كظرف زمان",,,,"ظَرْفِيَّاً, كَظَرْف"
270082,attributively,in an attributive manner,the genitive noun is used attributively,"دَلالَةً, نَعْتَاً",يستخدم لنسبة شيء أو وصفه,"الاسم المضاف يستخدم دلالةً . كلمة ""دافئ"" تستخدم نعتاً في عبارة ""يوم دافئ""",,,,"دَلالَةً, نَعْتَاً"
276465,asleep,into a sleeping state,he fell asleep,نَائِم,في حالة نوم وليس يقظة,وجدته نائماً فلم أشأ إيقاظه,,,,نَائِم
276557,asleep,in the sleep of death,,مَيِّت,في حالة رقود الموت,يرقد ميتاً على سريره,,,,مَيِّت
277655,atop,"on, to, or at the top",,أَعْلَى,في أو إلى الأعلى,يقع المنزل في أعلى التل ويطل على البحر. يوجد عش للطيور أعلى الشجرة,,,في أعلى,أَعْلَى
298995,"moistly, damply",in a damp manner,a scarf was tied round her head but the rebellious curl had escaped and hung damply over her left eye,"مُبَلَّلاً, رَطِبَاً",بطريقة تجعل الشيء مبللاً قليلاً,تركت زخات المطر الطريق مبللاً. يجب أن تبقى التربة رطبةً بعض الشيء,,,,"مُبَلَّلاً, رَطِبَاً"
306173,"daylong, all day long",during the entire day,light pours daylong into the parlor,GAP,خلال النهار بطوله كاملاً,أمضى طوال اليوم في العمل,,,"طوال اليوم، طول اليوم",GAP
310908,destructively,in a destructive manner,he is destructively aggressive,"[عَلَى نَحْوٍ تَدْمِيْرِي], [بِشَكْلٍ هَدَّام], [عَلَى نَحْوٍ تَخْرِيْبِي], [خْرِيْبِيَّاً], تَدْمِيْرِيَّاً, [بِشَكْلٍ تَخْرِيِْبي]",بطريقة تسبب الدمار والخراب,أثر الزلزال على المنطقة تدميرياً. الأعاصير هي إحدى القوى المؤثرة بشكل تدميري على المناطق,"عَلَى نَحْوٍ تَدْمِيْرِي,بِشَكْلٍ هَدَّام,عَلَى نَحْوٍ تَخْرِيْبِي,خْرِيْبِيَّاً,بِشَكْلٍ تَخْرِيِْبي",,بشكل تدميري, تَدْمِيْرِيَّاً
311268,"harmfully, noxiously, detrimentally",in a detrimental manner,,[عَلَى نَحْوٍ ضَارٍّ],يؤثر على الكائنات أو العقل أو الأشياء بشكل يسبب الضرر والأذى الشديدين,تؤثر النفايات السامة على البيئة بشكل ضار جداً. بعض الأفكار والعقائد السامة تؤثر بشكل مؤذٍ على سلوك الأفراد,عَلَى نَحْوٍ ضَارٍّ,,"بشكل مؤذٍ، بشكل ضار",GAP
326996,educationally,in an educational manner,the assistant masters formed a committee of their own to consider what could be done educationally for the town,"تَعْلِيْمِيَّاً, [بِشَكْلٍ تَرْبَوِيٍّ], تَرْبَوِيَّاً",بطريقة تخص التربية والتعليم أوتسهم فيهما, نجحت المدرسة في بناء سمعتها تعليمياً. يسهم المعلم في إنشاء جيل ناجح تربوياً .,بِشَكْلٍ تَرْبَوِيٍّ,,,"تَعْلِيْمِيَّاً, تَرْبَوِيَّاً"
336594,expressively,with expression; in an expressive manner,"she gave the order to the waiter, using her hands very expressively", [تَعْبِيْرِيَّاً],بطريقة تعبر عن الشخص بالنسبة لما يفكر أو يشعر به,ترسم لوحاتها بشكل معبر جميل. ,تَعْبِيْرِيَّاً,,بشكل معبر,GAP
