PWN ID,English Lemmas,English Gloss,English Examples,Arabic lemmas or Gap,Arabic Gloss,Arabic Examples
198526,reassuring,restoring confidence and relieving anxiety,a very reassuring remark,مُطَمْئِن,ما يجعلك أقل قلقاً ويخفف التوتر ويعيد الثقة,ابتسم لها ابتسامة مطمئنة
219320,beautiful,delighting the senses or exciting intellectual or emotional admiration,a beautiful child; beautiful country; a beautiful painting; a beautiful theory; a beautiful party,جَمِيل,ما يتصف بخصائص جذابة تبهج الحواس وتمنح السرور لمن يجربه أو يفكر به,المنظر من هنا جميل جداً. امرأة جميلة. منزل جميل
222548,ugly,displeasing to the senses,an ugly face; ugly furniture,قَبِيح,ما يتصف بأنه غير جذاب أو جميل ولا يبعث السرور في النفس عند النظر إليه ,ذوق قبيح. أشعر أنني أصبحت بديناً وقبيحاً
244146,white,of or belonging to a racial group having light skin coloration,voting patterns within the white population,قَوْقَازِي,الشخص الذي ينتمي إلى العرق البشري من ذوي البشرة البيضاء من الأصول الأوروبية والغرب والجنوب آسيوية والشمال أفريقية,يتميز القوقازيون ببياض البشرة والوجه المحمر والشفاه الصغيرة
261296,middle-class,occupying a socioeconomic position intermediate between those of the lower classes and the wealthy,,طَبَقَة مُتَوَسِّطَة,طبقة تأتي اجتماعياً واقتصادياً بين الطبقة العاملة والطبقة الغنية,اعتمدت الطبقة المتوسطة قديماً على التجارة وأرباحها
268318,"eupneic, eupnoeic, breathing",passing or able to pass air in and out of the lungs normally; sometimes used in combination,the boy was disappointed to find only skeletons instead of living breathing dinosaurs; the heavy-breathing person on the telephone, مُتَنَفِّس,"كونه يستطيع إدخال وإخراج الهواء من وإلى الرئتين بشكل طبيعي، ",الثدييات كائنات متنفسة للأكسجين
289948,broken,physically and forcibly separated into pieces or cracked or split,a broken mirror; a broken tooth; a broken leg; his neck is broken,مَكْسُور,محطم  بالقوة إلى قطع منفصلة,زجاج مكسور. سن مكسور. .
307112,capable,(usually followed by `of') having capacity or ability,capable of winning; capable of hard work; capable of walking on two feet,قَادِر,امتلاك القدرة والاستطاعة لفعل الشيء,قادر على تجاوز الصعوبات. قادر على الوقوف على يديه
309819,careful,exercising caution or showing care or attention,they were careful when crossing the busy street; be careful to keep her shoes clean; did very careful research; careful art restorers; careful of the rights of others; careful about one's behavior,"حَذِر, مُنْتَبِه",أن يبدي الانتباه والحذر تجاه ما تفعل أو تملك من أجل تجنب الضرر أو الحوادث,كن حذراً عند عبور الطريق. يجب أن تكون منتبهاً عند استخدام السكين
314920,herbivorous,feeding only on plants,,عَاشِب,كونه يتغذى على النباتات فقط,الماشية والأرانب والغزلان أمثلة على حيوانات عاشبة
323355,causative,producing an effect,poverty as a causative factor in crime,سَبَبِي,يعمل كسبب أو حافز لشيء ما وينتج تأثيراً,التدخين عامل سببي في تطور العديد من الأمراض كسرطان الرئة
343148,certified,endorsed authoritatively as having met certain requirements,a certified public accountant,"مُعْتَمَد, مُجَاز",يتصف بامتلاكه وثيقة تثبت استيفاءه لشروط ومتطلبات معينة, شهادة جامعية معتمدة. محاسب مجاز.
367771,chromatic,being or having or characterized by hue,,لَوْنِي,ذو علاقة بالأطياف اللونية والضوئية,تدرجات لونية
393873,black,being of the achromatic color of maximum darkness; having little or no hue owing to absorption of almost all incident light,black leather jackets; as black as coal; rich black soil,أسْوَد,أقصى درجة لونية من الظلام ناتجة عن فقدان أشعة الضوء أو امتصاصها كلياً,أسود كالفحم. يعتبر الأسود ملك الألوان
394166,white,being of the achromatic color of maximum lightness; having little or no hue owing to reflection of almost all incident light,as white as fresh snow; a bride's white dress,أبْيَض,"مجموع كافة الألوان في الطيف المرئي، ناتج عن أقصى درجات الإضاءة",ارتدت العروس فستانها الأبيض. هطل الثلج الأبيض الناصع
395196,"color, colour",having or capable of producing colors,color film; he rented a color television; marvelous color illustrations,مُلَوَّن,يملك الكثير من الألوان أو يستطيع إنتاج الألوان,رسوم جميلة ملونة. شاشة ملونة. ورود ملونة
410517,dark,(used of color) having a dark hue,dark green; dark glasses; dark colors like wine red or navy blue," دَاكِن, قَاتِم",يميل إلى السواد, أميل للألوان الداكنة شتاء. ارتدت فستاناً قاتم اللون للحفلة.
418932,clean,free from dirt or impurities; or having clean habits,children with clean shining faces; clean white shirts; clean dishes; a spotlessly clean house; cats are clean animals, نَظِيف,خالٍ من أي علامات قذارة أو تلوث,تعبت كثيراً حتى أصبح المنزل نظيفاً. 
444378,far,at a great distance in time or space or degree,we come from a far country; far corners of the earth; the far future; a far journey; the far side of the road; far from the truth; far in the future,بَعِيد,على بعد مسافة طويلة من المكان أو الزمان أو ..,"ما زال المتهم بعيداً عن قول الحقيقة. أتمنى أن المطعم ليس بعيداً، فأنا جائع"
446553,"near, close, nigh",not far distant in time or space or degree or circumstances,near neighbors; in the near future; they are near equals; his nearest approach to success; a very near thing; a near hit by the bomb; she was near tears; she was close to tears; had a close call,قَرِيب,الذي يفصله عن غيره مسافة قصيرة في الزمان والمكان,"سنذهب مشياً، فالمكان قريب من هنا"
447582,distant,separated in space or coming from or going to a distance,distant villages; the sound of distant traffic; a distant sound; a distant telephone call,بَعِيد,منفصل في مكان آخر ,بلاد بعيدة. صوت بعيد
468799,collective,forming a whole or aggregate,, جَمَاعِيّ,ما يتشارك به كل عضو في المجموعة,قرار جماعي. جهد جماعي
472920,published,prepared and printed for distribution and sale,the complete published works Dickens, مَطْبُوع,تم تجهيزه وطباعته في كتاب أو مجلة ...الخ للنشر والتوزيع والبيع,سأشتري المطبوعات الكاملة لكاتبي المفضل
473062,unpublished,not published,unpublished letters and diaries,"غَيْرَ مَنْشُور,غَيْر مَطْبُوع",ما لم يتم طباعته ونشره وبيعه من الكتابات,. مقالات غير منشورة. رواية غير مطبوعة
474326,"combinatory, combinative",marked by or relating to or resulting from combination,,تركيبي,ماله علاقة بتركيب الأشياء ودمجها سوياً,المكعبات ألعاب تركيبية
474982,combustible,capable of igniting and burning,,"قَابِل للاٍحْتِراق, قَابٍل للاِشْتِعَال",يتصف بقدرته على الاحتراق السريع لإنتاج الحرارة والطاقة,الخشب والفحم مواد قابلة للاحتراق. البلاستيك مادة قابلة الاشتعال
485135,commercial,connected with or engaged in or sponsored by or used in commerce or commercial enterprises,commercial trucker; commercial TV; commercial diamonds,تِجَارِيّ,ما توصف به مجموعة الأنشطة التي تعتمد اعتماداً كلياً على البيع والشراء كعملية اقتصادية وناتج اقتصادي للتجارة,إعلانات تجارية. مراسلات تجارية
486321,noncommercial,not connected with or engaged in commercial enterprises,,غَيْر تِجَاريّ,ليس له علاقة بالتجارة وكسب المال أو البيع والشراء,الجمعيات الخيرية تعتبر مؤسسات غير تجارية
487032,residential,used or designed for residence or limited to residences,a residential hotel; a residential quarter; a residential college; residential zoning,سَكَنِي,مصمم ومخصص لسكن الناس وإقامتهم,يجب أن تكون المصانع بعيدة تماماً عن المناطق السكنية
494722,common,belonging to or participated in by a community as a whole; public,for the common good; common lands are set aside for use by all members of a community," عَام, مُشْتَرَك","ما هو معتاد، مألوف، متكرر ويتشارك فيه اثنان أو أكثر من الناس",المصلحة العامة. حق مشترك. 
495505,"single, individual",being or characteristic of a single thing or person,individual drops of rain; please mark the individual pages; they went their individual ways,فَرْدِي,منسوب إلى الفرد أو مايتعلق به ويوجد بشكل منفصل عن غيره,إننا نتعامل مع كل حالة على أساس فردي. جهود فردية
520089,committed,"bound or obligated, as under a pledge to a particular cause, action, or attitude",committed church members; a committed Marxist,مُلْتَزِم,من وعد بالانخراط في خطة أو عمل أو موقف مع منحه وقته وجهده,جميع أعضاء كادر العمل ملتزمون. معلم ملتزم
545823,concerned,feeling or showing worry or solicitude,concerned parents of youthful offenders; was concerned about the future; we feel concerned about accomplishing the task at hand; greatly concerned not to disappoint a small child,قَلِق,الشعور بالقلق وإبداء الاهتمام والتأثر تجاه شيء أو شخص,إننا قلقون بشأن المستقبل الاقتصادي. المدير قلق بشأن سير العمل
568364,connected,joined or linked together,,مُتَّصِل,مرتبط ببعضه بشكل جيد,غير متصل بالتيار الكهربائي. متصل بالإنترنت
573907,unconscious,not conscious; lacking awareness and the capacity for sensory perception as if asleep or dead,lay unconscious on the floor,فَاقِد الوَعِي,"أن تكون في حالة عدم اليقظة وعدم إدراك الأشياء حولك، كما لو كنت نائماً أو ميتاً، وغالباً نتيجة إصابة",سقط أرضاً فاقداً للوعي بسبب ضربة على الرأس
576723,conservative,resistant to change,, مُحَافِظ,من يحافظ على آرائه وعاداته ومعتقداته القديمة ويرفض التغيير,مجتمع محافظ. عائلة محافظة
577581,liberal,"tolerant of change; not bound by authoritarianism, orthodoxy, or tradition",," مُتَحَرِّر, لِيبرَاليّ, تَحَرُّريّ","من يسمح ويحترم مختلف المعتقدات والسلوكيات، ويعتقد بأن المجتمع يجب أن يتغير ويكون أكثر تحرراً وانفتاحاً",مجتمع متحرر. سياسة ليبرالية. عقل تحرري.  
600402,continued,without stop or interruption,to insure the continued success of the war; the continued existence of nationalism; the continued popularity of Westerns,"مُتَوَاصِل, مُسْتَمِرّ",ما زال حاصلاً دون انقطاع,سيستمر العمل متواصلاً حتى الانتهاء منه. نجاحات مستمرة
610798,unconventional,not conventional or conformist,unconventional life styles,غَيْر تَقْلِيدي,مختلف عما هو معتاد عند الناس ولا يخضع للأعراف العامة,زواج غير تقليدي. أسلوب حياة غير تقليدي
612923,"nuclear, atomic",(weapons) deriving destructive energy from the release of atomic energy,nuclear war; nuclear weapons; atomic bombs,"نَوَوِي, ذَرِّي",استخدام الطاقة المدمرة الناتجة عن انقسام الذرة,. انشطار نووي. قنبلة ذرية
618376,cooked,having been prepared for eating by the application of heat,,"مَطْهِي, مَطْبُوخ",تم إعداده وتحضيره لتناوله باستخدام الحرارة,يجب أن يكون اللحم مطهواً بشكل جيد. أفضل الخضار المطبوخة على النيئة
622591,cooperative,done with or working with others for a common purpose or benefit,a cooperative effort,تَعَاوُنِي,ما يتم فعله أو العمل به مع الآخرين من أجل غرض أو مصلحة مشتركة,جهود تعاونية. زراعة تعاونية
629641,material,derived from or composed of matter,the material universe,مَاذِّي,مشتق أو مركب من مادة ملموسة ندركها بالحواس,"العالم المادي. الطاولة، الحجر، المنزل أمثلة على أشياء مادية"
632838,"material, corporeal",having material or physical form or substance,"that which is created is of necessity corporeal and visible and tangible"" - Benjamin Jowett",بَدَنِي,ما له علاقة بالجسد وليس بالروح,الرياضة تزيد القوة البدنية
633307,"incarnate, bodied, corporal, corporate, embodied",possessing or existing in bodily form,"what seemed corporal melted as breath into the wind""- Shakespeare; an incarnate spirit; `corporate' is an archaic term","مُجَسَّد, مُتَجَسِّد",متمثل بشكل مادي ملموس,"تكون الشياطين مجسدة أحياناً بأجساد بشرية. اذا رأيت الشخص يصطاد من أجل التسلية عندها يمكنك أن تسميه ""شر متجسد"""
634232,"correct, right",free from error; especially conforming to fact or truth,the correct answer; the correct version; the right answer; took the right road; the right decision,صَحِيح,سالم من الخطأ ويتفق مع الحقائق,جواب صحيح. طريق صحيح. قرار صحيح
636250,"correct, right",correct in opinion or judgment,time proved him right,صائب,من تكون معتقداته وآراؤه مبنية على ما هو صحيح,لديه إحساس صائب تجاه بعض الأمور
653599,critical,being in or verging on a state of crisis or emergency,a critical shortage of food; a critical illness; an illness at the critical stage," حَرِج, خَطِير","كون الشيء في حالة أزمة أو طوارئ، أو ذو أهمية كبيرة بالنسبة للطريقة التي تحدث بها الأشياء",مرحلة حرجة من المرض. أزمة خطيرة. 
654957,critical,at or of a point at which a property or phenomenon suffers an abrupt change especially having enough mass to sustain a chain reaction,a critical temperature of water is 100 degrees C--its boiling point at standard atmospheric pressure; critical mass; go critical,حَرِج,الوصول إلى نقطة حدوث تغير مفاجئ في ظاهرة ما,درجة الحرارة الحرجة للماء عند نقطة الغليان هي مئة مئوية في الشروط القياسية
659885,"crystallized, crystallised",having become fixed and definite in form,"distinguish between crystallized and uncrystallized opinion""- Psychological Abstracts",مُبَلْوَر,متضح الشكل محدد المعالم,أصبحت أفكاري مبلورة وواضحة
667636,curious,eager to investigate and learn or learn more (sometimes about others' concerns),a curious child is a teacher's delight; a trap door that made me curious; curious investigators; traffic was slowed by curious rubberneckers; curious about the neighbor's doings,فُضُولِيّ,صفة الشخص المتلهف للتحقيق بالأشياء ومعرفة المزيد والمزيد وخصوصاً التدخل في شؤون الغير,لا تكن فضولياً ولا تتدخل بي. طفل فضولي يكثر من الأسئلة
682414,damaged,harmed or injured or spoiled,I won't buy damaged goods; the storm left a wake of badly damaged buildings,"تَالِف, مُتَضَرِّر",تأذى وأصيب بضرر بالغ,تركت العاصفة المحاصيل تالفة . أصبح البناء متضرراً بعد الزلزال
693335,deep,having great spatial extension or penetration downward or inward from an outer surface or backward or laterally or outward from a center; sometimes used in combination,a deep well; a deep dive; deep water; a deep casserole; a deep gash; deep massage; deep pressure receptors in muscles; deep shelves; a deep closet; surrounded by a deep yard; hit the ball to deep center field; in deep space; waist-deep,عَمِيق,"ذو مسافة مكانية طويلة من الأعلى إلى الأسفل، أو من الخارج إلى الداخل",بئر عميقة. الفضاء العميق. 
694973,shallow,lacking physical depth; having little spatial extension downward or inward from an outer surface or backward or outward from a center,shallow water; a shallow dish; a shallow cut; a shallow closet; established a shallow beachhead; hit the ball to shallow left field,ضَحْل,"الذي لا عمق مادي له، ولا امتداد مكاني للداخل أو الأسفل أو إلى المركز","هذا الصحن ضحل، يمكن أن ينسكب الطعام منه بسهولة. لا يمكن للسفينة السير في المياه الضحلة"
696211,deep,relatively deep or strong; affecting one deeply,a deep breath; a deep sigh; deep concentration; deep emotion; a deep trance; in a deep sleep,عَمِيق,له تأثير قوي ودائم في الصميم,نفس عميق. نوم عميق
696805,shallow,not deep or strong; not affecting one deeply,shallow breathing; a night of shallow fretful sleep; in a shallow trance,سَطْحي,"ضعيف وليس عميق، غير مؤثر في الصميم",تفكير سطحي. تنفس سطحي سريع
697192,"de facto, actual, factual",existing in fact whether with lawful authority or not,de facto segregation is as real as segregation imposed by law; a de facto state of war, وَاقِعِيّ,كون الأمر مطبق على أرض الواقع لكنه ليس بالضرورة مذكوراً ومنظماً من قبل القانون للساري,استلم العسكري البلاد بالأمر الواقع
711461,breakable,capable of being broken or damaged,earthenware pottery is breakable; breakable articles should be packed carefully, قَابِل للكَسْر,يمكن تحطيمه وكسره بسهولة,الفخار مادة قابلة للكسر. عليك تغليف الأشياء القابلة للكسر جيداً
713189,unbreakable,impossible to break especially under ordinary usage,unbreakable plastic dinnerwear,غَيْر قَابِل لِلْكَسْر,لا يمكن كسره وخصوصاً بالاستخدام العادي,يجب أن يشرب الطفل من كأس غير قابل للكسر
718584,democratic,characterized by or advocating or based upon the principles of democracy or social equality,"democratic government; a democratic country; a democratic scorn for bloated dukes and lords""- George du Maurier",دِيْمُقْرَاطِي,"ما كان مبنياً على الديمقراطية، أي إشراك الشعب في ممارسة السلطة وتحقيق  العدالة الاجتماعية",حكومة ديمقراطية. 
748528,"difficult, hard",not easy; requiring great physical or mental effort to accomplish or comprehend or endure,a difficult task; nesting places on the cliffs are difficult of access; difficult times; a difficult child; found himself in a difficult situation; why is it so hard for you to keep a secret?,صَعْب,"ليس سهلاً يسيراً، ولا يمكن إتمامه أو التغلب عليه إلا بمشقة وببذل الجهد البدني أو الفكري","من الصعب لدى المرأة الاحتفاظ بالسر. أسئلة الامتحان صعبة، لم أستطع حلها."
752852,easy,posing no difficulty; requiring little effort,an easy job; an easy problem; an easy victory; the house is easy to heat; satisfied with easy answers; took the easy way out of his dilemma,سَهْل,"غير عسير، ولا يحتاج الكثير من الجهد لإتمامه",مسألة سهلة. وظيفة سهلة. امتحان سهل
764460,direct,direct in spatial dimensions; proceeding without deviation or interruption; straight and short,a direct route; a direct flight; a direct hit,مُبَاشَر,"ذاهب مكانياً في الاتجاه المستقيم المختصر، دون انحراف أو مقاطعة",سأذهب في خط سفر مباشر ومختصر بين المدينتين
808265,lively,full of life and energy,a lively discussion; lively and attractive parents; a lively party,مُفْعَم بِالحَيَاة,"مفعم بالطاقة والحماس، مشوق ومثير",أطفال مفعمون بالحياة.
814485,eager,having or showing keen interest or intense desire or impatient expectancy,eager to learn; eager to travel abroad; eager for success; eager helpers; an eager look, مُتَلَهِّف,"راغب بشدة في شيء ما ، وخصوصاً شيء مثير وممتع",كنت متلهفاً لرؤيته. متلهف للعلم
816521,early,at or near the beginning of a period of time or course of events or before the usual or expected time,early morning; an early warning; early diagnosis; an early death; took early retirement; an early spring; early varieties of peas and tomatoes mature before most standard varieties,"مُبَكِّر, بَاكِر","قريب من بداية فترة زمنية، أو أحداث تحدث قبيل وقتها المتوقع",الصباح الباكر. تقاعد مبكر
826017,uneasy,lacking a sense of security or affording no ease or reassurance,farmers were uneasy until rain finally came; uneasy about his health; gave an uneasy laugh; uneasy lies the head that wears the crown; an uneasy coalition government; an uneasy calm; an uneasy silence fell on the group, قَلِق,متوتر أو غير مرتاح حيال وضع معين,كان قلقاً بخصوص صحته. ابتسامته قلقة
826918,east,situated in or facing or moving toward the east,,شَرْقِيّ,ذو موقع أو اتجاه نحو جهة الشرق,اشتريت منزلاً شرقياً تدخله الشمس صباحاً
827889,west,situated in or facing or moving toward the west,,غَرْبَاً,ذو موقع أو اتجاه نحو جهة الغرب,تغرب الشمس من جهة الغرب
828657,western,relating to or characteristic of regions of western parts of the world,Western Europe; the Western Roman Empire,غَرْبِيّ,ذو صلة بمناطق الأجزاء الغربية من العالم,أوروبا الغربية. العالم الغربي
832318,"edible, eatable, comestible",suitable for use as food,,صَالِح لِلْأَكْل,يمكن تناوله كغذاء ,الطعام المنتهي الصلاحية غير صالح للأكل
833284,educated,possessing an education (especially having more than average knowledge),,مُتَعِلِّم,حاصل على خبرات ومعلومات في مختلف مجالات الحياة,إنه شخص متعلم حاصل على أكثر من شهادة في عدة مجالات
851498,obligatory,morally or legally constraining or binding,attendance is obligatory; an obligatory contribution,"إجْبَارِي, إلْزَامِي",واجب التنفيذ من باب الأخلاق أو القانون,الحضور إلى الدرس إجباري. ارتداء الزي الرسمي إلزامي في المدارس
866236,applied,concerned with concrete problems or data rather than with fundamental principles; opposed to theoretical,"applied physics; applied psychology; technical problems in medicine, engineering, economics and other applied discipcdlines""- Sidney Hook",تطبيقي,ما له استخدام عملي ومبادئ أساسية لحل مسائل محددة ,الكيمياء التطبيقية. علم النفس التطبيقي
867880,unemployed,not engaged in a gainful occupation,unemployed workers marched on the capital,عَاطِل عن العَمَل,غير مرتبط بوظيفة أو مهنة يكسب منها المال,لم يترك المسؤول أي شخص عاطل عن العمل إلا وأوجد له وظيفة
875503,"endoergic, energy-absorbing",(of a nuclear reaction) occurring with absorption of energy,,مَاصّ لِلْطَّاقَة,صفة التفاعل الذري الذي يمتص الطاقة من الوسط المحيط,جميع التفاعلات النووية الضوئية ماصة للطاقة
875655,"exoergic, energy-releasing",(of a nuclear reaction) occurring with evolution or releasing of energy,,مُطْلِق لِلْطَاقَة,صفة التفاعل الذري الذي يطلق الطاقة,الاندماج النووي في النجوم يصبح مطلقاً للطاقة كما في الشمس
883449,increased,made greater in size or amount or degree,,مُتَزَايِد,ما أصبح أكبر بالحجم أو الكمية أو الدرجة,تصبح الكثافة السكانية متزايدة يوماً بعد يوم
884977,"reduced, decreased",made less in size or amount or degree,,متناقص,ما أصبح أقل بالحجم أوالكمية أوالدرجة,أصبح رصيده من المال متناقصاً بسبب السحب العشوائي
891011,"wishful, desirous",having or expressing desire for something,desirous of high office; desirous of finding a quick solution to the problem,"رَاغِب ب, تَوَّاق",يبدي رغبة لشيء ما.,راغب بإيجاد حل للمشكلة. تواق إلى تحقيق أهدافي
893124,equal,"well matched; having the same quantity, value, or measure as another",on equal terms; all men are equal before the law," مُعَادِل, مُسَاو","ما هو متطابق مع الشيء الآخر، وله نفس القيمة أوالكمية أو القياس ",جميع الناس معادلون لبعضهم أمام القانون. قيمة الطرف الأول في المعادلة مساوية لقيمة الطرف الثاني 
916501,even,divisible by two,,زَوْجِي,عدد يقبل القسمة على اثنين دون باق,"الأعداد أربعة، ثمانية، عشرون هي أعداد زوجية"
916568,odd,not divisible by two,,فَرْدِي,عدد لا يقبل القسمة على اثنين,"الأعداد خمسة، أحد عشر، خمس وعشرون هي أعداد فردية"
939307,"intimate, knowledgeable, versed",thoroughly acquainted through study or experience,"this girl, so intimate with nature""-W.H.Hudson; knowledgeable about the technique of painting""- Herbert Read",عَلِيم,بتصف بمعرفة الكثير من خلال الدراسة والتجربة,إنه عليم بخفايا المهنة. عليم بأسرار الفن
951878,internal,happening or arising or located within some limits or especially surface,internal organs; internal mechanism of a toy; internal party maneuvering,"باطِنِيّ, دَاخِلِي",ما يحدث أو ينشأ داخل حدود معينة,العقل الباطني. صراع داخي بين العاطفة والحكمة
979699,fast,acting or moving or capable of acting or moving quickly,fast film; on the fast track in school; set a fast pace; a fast car,سَرِيع, يتحرك أو يستطيع أن يتحرك بسرعة,عداء سريع. سيارة سريعة
989218,fat,having much flesh (especially fat),he hadn't remembered how fat she was,بَدِين,لديه المزيد من اللحم على جسده,تناول الدهون والسكريات يجعلك بديناً
995188,"fatty, fat",containing or composed of fat,fatty food; fat tissue, دهني ,يحتوي على دهون أو مركب منها,طعأم دهني. نسيج دهني
1010155,finite,bounded or limited in magnitude or spatial or temporal extent,,مُحَدَّد,محدود ومقيد بحجم أو زمان أو مكان وينتهي عند نقطة معينة,لدينا وقت محدد لإنجاز المهمة
1014459,first,preceding all others in time or space or degree,the first house on the right; the first day of spring; his first political race; her first baby; the first time; the first meetings of the new party; the first phase of his training,"أَوَّل, أُولَى",سابق للجميع في الوقت والمكان والدرجة,الطالب الأول. طفلها الأول. المرحلة الأولى
1016876,last,coming after all others in time or space or degree or being the only one remaining,the last time I saw Paris; the last day of the month; had the last word; waited until the last minute; he raised his voice in a last supreme call; the last game of the season; down to his last nickel,"أخِير, آخِر",ما يأتي بعد كل شيء في الوقت والمكان والدرجة أو يكون هو المتبقي الوحيد,قال كلمته الأخيرة وانصرف. انتظر حتى اللحظة الأخيرة. آخر يوم في العمل قبل الاستقالة
1017848,intermediate,lying between two extremes in time or space or degree,going from sitting to standing without intermediate pushes with the hands; intermediate stages in a process; intermediate stops on the route; an intermediate level,مُتَوَسِّط,واقع بين طرفين في الوقت والمكان والدرجة,في مرحلة متوسطة من العمر . مستواه متوسط ليس بالجيد ولا السيء
1034481,straight,(of hair) having no waves or curls,her naturally straight hair hung long and silky,مُسْتَقِيم,(للشعر) مسترسل ليس له أي تجعيدات أو تموجات,يمكنك عمل الشعر مستقيماً ناعماً باستخدام جهاز خاص
1041222,foreign,of concern to or concerning the affairs of other nations (other than your own),foreign trade; a foreign office,أجْنَبِي,يخص شؤون البلاد الأخرى ( وليس بلدك أنت),بضاعة أجنبية. تجارة أجنبية
1045598,formal,being in accord with established forms and conventions and requirements (as e.g. of formal dress),pay one's formal respects; formal dress; a formal ball; the requirement was only formal and often ignored; a formal education,رَسْمِي,ما يتوافق مع النظام الأصول والقواعد ولا يميل إلى رفع الكلفة ,لباس العمل الرسمي. استقبال رئاسي رسمي
