PWN Id,English lemmas,English gloss,English examples,Arabic lemmas or Gap,Arabic gloss,Arabic exampes
18519,"awake, waken, arouse, awaken, wake, come alive, wake up",stop sleeping,She woke up to the sound of the alarm clock,"اِسْتَيْقَظَ, صَحَا, أَفَاقَ, أفَاقَ",ينتهي نومه ,استيقظت على صوت المنبّه. أحب شرب القهوة عندما أصحو. أفاق على صوت الضجيج
19441,affect,act physically on; have an effect upon,,GAP,يحدث تغييراً مادياً في شيء أو شخص ما,أثّر المرض على صحتها كثيراً. تؤثر الحرارة في ذوبان الثلج
20126,wake,"be awake, be alert, be there",,اِسْتَيْقَظَ,ينتبه بعد النوم ويصبح واعياً لمحيطه,عليّ أن أستيقظ باكراً غداً فلديّ عمل كثير
22309,"sedate, tranquillise, tranquilize, tranquillize, calm",cause to be calm or quiet as by administering a sedative to,The patient must be sedated before the operation,GAP,يجعله هادئاً أو غائباً عن الوعي بإعطائه عقاراً ما,إعطاء المنومات بكثرة يسبب الإدمان. يمكن إعطاء الحيوانات مهدئات لتسهيل التعامل معها
22679,"perk up, arouse, brace, energise, stimulate, energize",cause to be alert and energetic,Coffee and tea stimulate me; This herbal infusion doesn't stimulate,نَشَّطَ,يسبب الإثارة والنشاط والتيقظ,هذا الكتاب يُنشط الخيال. تنشّطني القهوة عند تناولها صباحاً.
24807,"refresh, freshen, refreshen, freshen up",become or make oneself fresh again,She freshened up after the tennis game,اِنْتَعَشَ,يستعيد قوته ونشاطه ثانية بعد التعب أوالذبول,انتعشتُ بعد شراب االيمون
25196,"tense, tense up, strain",cause to be tense and uneasy or nervous or anxious,he got a phone call from his lawyer that tensed him up,أَقْلَقَ,يسبب التوتر وعدم الارتياح كتوقع أو رد فعل لشيء غير متوقع أو غير سار,أقلقته نتيجة التحاليل المخبرية
26378,"relax, loosen up, unbend, unwind, decompress, slow down","become less tense, rest, or take one's ease",He relaxed in the hot tub; Let's all relax after a hard day's work,إِسْتَرْخَى,يخفف من حدة التوتر والتحفّز والقلق ويعطي جسده وعقله فرصة للاستراحة من التعب,"استرخى على السرير بعد يوم شاق. لا تشغل بالك بشيء، فقط استرخِ"
27261,"extend, stretch","extend one's limbs or muscles, or the entire body",Stretch your legs!; Extend your right arm above your head, مدّدَ,"يبسط أطرافه أو عضلاته، أو كامل جسده",مدّد جسده على السرير . مدِّد عضلات الساقين أثناء التمرين
28558,smile,"change one's facial expression by spreading the lips, often to signal pleasure",,اِبْتَسَمَ,"تعبير وجهيّ ودود حيث يحني زاويتي الشفتين إلى الأعلى، يشير إلى السرور والرضا، أو الاستهزاء أحياناً",ابتسم الوالد مسروراً بتصرف ابنه. ابتسمت عندما رأته 
29018,grin,"to draw back the lips and reveal the teeth, in a smile, grimace, or snarl",,كَشَّرَ,"تعبير وجهي حيث يبتسم ابتسامة عريضة مع فتح الشفتين وظهور الأسنان، تدل على ابتسامة أو تكشيرة أو زمجرة",كشّر وهو ينظر إليها
30640,"collapse, break down","collapse due to fatigue, an illness, or a sudden attack",,اِنْهَار,يتدهور ويسقط فجأة بسبب الضغط أو الضعف الشديد وانعدام الدعم,انهارت العملة المحلية. انهار بعد العمل الشاق
31270,"fall over, go over",fall forward and down,The old woman went over without a sound," تعثّر، زلّ",يفقد توازنه ويسقط أرضاً باتجاه الأمام,عندما تعثرت المرأة العجوز جاء الناس لمساعدتها. زلّ بسبب الأحجار في طريقه فسقط أرضاً
31813,"laugh, express joy, express mirth",produce laughter,,ضَحِكَ,يظهر السرور بابتسامة ذات صوت مسموع,ضحكنا كثيراً على أحداث المسرحية الكوميدية.
33592,look,have a certain outward or facial expression,How does she look?; The child looks unhappy; She looked pale after the surgery,بَدَا,يملك تعابير خارجية أو وجهية تدل على الشكل أو المشاعر,تبدو شاحبة بسبب المرض. يبدو الطفل حزيناً 
33948,shrug,raise one's shoulders to indicate indifference or resignation,,GAP,يحرك كتفيه للأعلى ثم للأسفل للدلالة على اللامبالاة أو عدم المعرفة بشيء ما أو رفض الشيء,"قال لها: ""كيف لي أن أعرف؟"" وهز كتفيه استهجاناً"
34281,"make a face, grimace, pull a face",contort the face to indicate a certain mental or emotional state,He grimaced when he saw the amount of homework he had to do,عَبَسَ,تحريك أعضاء الوجه بطرق معينة تعبر عن المشاعر أو الاستياء والازدراء,عبس عندما رأى كمَّ العمل المتراكم عليه
35769,"cleanse, clean","clean one's body or parts thereof, as by washing",clean up before you see your grandparents; clean your fingernails before dinner,نَظَّفَ,"يزيل الأوساخ والمواد الضارة عن أجزاء الجسد، كغسلها بالماء مثلاً",ينظف يديه قبل الأكل. ينظف الجرح جيداً
36355,"wash, lave",cleanse (one's body) with soap and water,,غَسَلَ,ينظف جسده باستخدام الماء والصابون,غسل يديه من الأوساخ
40084,"groom, neaten",care for one's external appearance,He is always well-groomed,رَتَّبَ,يهتم بمظهره الخارجي من حيث الأناقة والنظافة ,رتبت نفسها على المرآة وخرجت من المنزل.
40659,make up,apply make-up or cosmetics to one's face to appear prettier,She makes herself up every morning,تَجَمَّلَ,يستخدم المساحيق التجميلية على الوجه ليبدو أجمل,لا تتجملي كثيراً بالمساحيق فوجهك أجمل على طبيعته
44528,"dress, dress up",dress in a certain manner,She dresses in the latest Paris fashion; he dressed up in a suit and tie,لَبِسَ,يرتدي ملابس محددة في مناسبات معينة,لبِسَتْ العباءة السوداء في حفل تخرجها. عليه أن يلبس زي المدرسة يومياً
45548,"reduce, slenderize, lose weight, thin, slim down, melt off, slim",take off weight,,"نَحُفَ, أَنْقَصَ",ينقص الوزن ويجعله نحفياً خفيفاً أو هو يبدو كذلك,قرر أن ينقص وزنه بعد معاناة مع البدانة. نحُفت كثيراً بسبب المرض
45868,"gain, put on",increase (one's body weight),She gained 20 pounds when she stopped exercising," زَادَ, سَمِنَ",يزيد الوزن ويجعل أكثر ضخامة أو هو يبدو كذلك,زاد وزنه عشرة كيلوغرامات عندما توقف عن التمرين. سَمِنَ كثيراً بسبب الإفراط في الطعام. 
46251,"dress, get dressed",put on clothes,we had to dress quickly; dress the patient; Can the child dress by herself?,"لَبِسَ،  ألبس",تضع عليك الثياب أو تضعها على غيرك,لا يمكنني أن ألبس هذا القميص فهو ضيق. ألبست صغيرتها الفستان الجديد
47034,"try, try on",put on a garment in order to see whether it fits and looks nice,Try on this sweater to see how it looks,قَاسَ,يرتدي الثوب لتجربته ومعرفة إن كان ملائماً من ناحية القياس والألوان الخ,أريد أن أقيس البنطال الأسود والأبيض من فضلك
47462,"wear, bear",have on one's person,He wore a red ribbon; bear a scar,وَضَعَ,يرتدي عليه شيئاً من الثياب أو ملحقاتها,وضع القبعة على رأسه. وضعت شرائط حمراء على ضفائرها. وضعت السوار في يدها
47662,"apparel, tog, habilitate, garb, fit out, clothe, dress, raiment, garment, enclothe",provide with clothes or put clothes on,Parents must feed and dress their child,GAP,تقديم الثياب للغير من باب المسؤولية والدعم,قدم المتبرعون بعض الكسوة الشتوية لسكان المخيمات. قدم الأهل ملابس العيد لأطفالهم
50369,"get into, don, wear, put on, assume",put clothing on one's body,What should I wear today?; He put on his best suit for the wedding; The princess donned a long blue dress; The queen assumed the stately robes; He got into his jeans,لَبِسَ,يضع الثياب عليه,اليوم سألبس فساتني الأبيض. لبس حذاءه الجديد.
52091,"wear, have on",be dressed in,She was wearing yellow that day,"إِرْتَدَى, لَبِسَ",يكون مرتدياً ثياباً,ارتدت ثياباً جميلة. كانت تلبس الأسود
52265,"inseminate, fecundate, fertilise, fertilize",introduce semen into (a female),,"خَصَّبَ, لَقَّحَ",يدخل السائل المنوي الذكري في الجهاز التناسلي الأنثوي جنسياً أو اصطناعياً,يتم استخدام الآلة لتخصيب البقرة. تُفحص عينة السائل المنوي قبل التلقيح الاصطناعي
52876,"prang up, knock up, bang up, impregnate",make pregnant,He impregnated his wife again,لَقَّحَ,يجعل الأنثى حاملاً بالجنين,من طرق الحمل التلقيح الاصطناعي. 
54856,"reproduce, procreate, multiply",have offspring or young,"The deer in our neighborhood reproduce madly; The Catholic Church tells people to procreate, no matter what their economic situation may be","تَكَاثَرَ, تَنَاسَلَ",ينتج أفراداً صغاراً من نفس النوع,تتكاثر الكائنات الحية جنسياً أو لا جنسياً. يتناسل الحصان مرة أو اثنتين كل عام
55613,propagate,"cause to propagate, as by grafting or layering",,كَاثَرَ,يساعد في عملية التكاثر بطرق عدة كالتطعيم والتلقيح الاصطناعي,التطعيم يكاثر الشجر. لتكاثر الأولاد يمكن القيام بالتلقيح الاصطناعي
56644,"deliver, bear, have, give birth, birth",cause_to_be_born,My wife had twins yesterday!,وَلَدَ,تُخرج الجنين من رحمها إلى الوجود بعد انقضاء فترة الحمل,وَلدت زوجتي توأماً بالأمس
57988,lamb,give birth to a lamb,the ewe lambed,GAP,تُخرج حمَلاً صغيراً من رحمها آلى الوجود,وَلدتْ النعجة حمَلاً
58790,"gestate, expect, bear, have a bun in the oven, carry",be pregnant with,She is bearing his child; The are expecting another child in January; I am carrying his child,GAP,تحمل مولوداً وتنتظر قدومه,إنهما ينتظران مولوداً في الشهر القادم
60604,"emasculate, demasculinise, castrate, demasculinize",remove the testicles of a male animal,,خَصَى,يزيل الخصي والأعضاء التناسلية من الذكر,إخصاء ذكور القطط يحميها من السلوك العدواني
61366,"sterilise, unsex, desex, desexualise, fix, sterilize, desexualize",make infertile,"in some countries, people with genetically transmissible disabilites are sterilized",عَقَّمَ,يجري عملاً جراحياً ليصبح عقيماً ولا يستطيع إنجاب الأطفال,بعد إنجاب خمسة أطفال قررت أن يتم تعقيمها
63062,irritate,"excite to an abnormal condition, of chafe or inflame",Aspirin irritates my stomach,  يهيج,يُسبّب حالة غير طبيعية من الألم أو الالتهاب أو التهيج في أحد أجزاء جسدك,هذا المرهم هيّج الطفح الجلدي لدي.  دواء يهيّج المعدة
63866,"palliate, alleviate, relieve, assuage","provide physical relief, as from pain",This pill will relieve your headaches,"خَفَّفَ, سَكَّنَ",يخفف من الألم وأعراض المرض السيئة دون علاجه,قرص الأسبيرين يخفف الصداع. هذا الدواء يسكن الألم لكنه لا يعالج الالتهاب
64414,hurt,give trouble or pain to,This exercise will hurt your back," آذَى, أَضَرَّ",يُسبب ألماً أو إصابة لنفسه أو لغيره, انتبه أن تؤذي نفسك بالسكين. حمل الأشياء الثقيلة يضر بالظهر.
64660,indispose,cause to feel unwell,She was indisposed,وَعَكَ,يُسبب الشعور بالألم وعدم الراحة وكون الجسم غير متوازن صحياً,كان متوعكاً أمس ولم يستطع النهوض من سريره
64841,"suffer, hurt",feel pain or be in pain,,"عَانَى, قَاسَى",يشعر بالمشقة والقسوة والصعوبة والألم في فترة معينة,عانى الشعب من ويلات الحرب. أقاسي من برد الشتاء كل عام
65141,have,suffer from; be ill with,She has arthritis,عَانَى,يكون مريضاً بمرض ما,تعاني من فقر الدم
65266,be well,be healthy; feel good,She has not been well lately,GAP,يكون بصحة جيدة ولا يشتكي من الأمراض,كانت بحالة جيدة مؤخراً ولم تشكُ من أي مرض
65410,"sustain, suffer, have, get",undergo (as of injuries and illnesses),She suffered a fracture in the accident; He had an insulin shock after eating three candy bars; She got a bruise on her leg; He got his arm broken in the scuffle,اشْتَكَى مِن, يقاسي ويتحمل الألم والمرض,اشتكى من آلام في الحلق. اشتكت من كدمة في قدمها
65796,"whimper, wail, mewl, pule",cry weakly or softly,she wailed with pain,أنَّ,يبكي بشكل مطول ومسموع ولكن بهدوء بسبب الحزن أو الألم,أنّ الطفل بسبب الجوع. يئنّ من الألم
65962,"cry, weep","shed tears because of sadness, rage, or pain",She cried bitterly when she heard the news of his death; The girl in the wheelchair wept with frustration when she could not get up the stairs,بَكَى,يذرف الدموع بسبب الحزن أو الغضب أو الألم الخ,بكى عند فراق صديقه. يبكي الصغير حين يضربه والداه
66748,tear,fill with tears or shed tears,Her eyes were tearing,أدْمَعَ,يُنزل الدمع من العينين بسبب تهيجها أو بكائها الخ,ظل يُضحكني حتى أدمع عينيّ. أدمع البصل عينيّ
69650,"injure, wound",cause injuries or bodily harm to,,آذَى,يتسبب بالأذى أو الضرر أو الإصابات الجسدية,آذى يده بالسكين وتسبب في نزفها جرحها. آذى قدمه أثناء لعب الكرة.
70210,trample,injure by trampling or as if by trampling,The passerby was trampled by an elephant,دَاسَ,يتم إيذاؤه بسبب الدوس عليه ,داس أحدهم على أزهاري فأتلفها
70949,"torment, torture, excruciate",subject to torture,"The sinners will be tormented in Hell, according to the Bible",عَذَّبَ,يتسبب بإيذاء جسدي أو ذهني كبير للشخص,تم تعذيب السجناء ظلماً. 
71399,"martyr, martyrize, martyrise",torture and torment like a martyr,,GAP,يعذِّب أو يقتل الشهيد من أجل معتقد ديني,لم يطعهم في ترك دينه فعذبوه
71556,"pull, overstretch",strain abnormally,I pulled a muscle in my leg when I jumped up; The athlete pulled a tendon in the competition,شَدَّ,يُجهد ويُرهق بشكل غير طبيعي,شَدَدتُ عضلة في ظهري أثناء حمل الألواح عليه. شدّ أوتار الركبة بسبب إجهادها بالتمرين
74311,"bind, constipate",cause to be constipated,These foods tend to constipate you,أَمْسَكَ,يقبض الأمعاء ويجعلها غير سالكة وغير قادرة على إفراغ فضلاتها ,النشويات تُمسك الأمعاء
74774,"wear upon, weary, jade, outwear, wear out, fatigue, tire, fag out, fag, tire out, wear, wear down",exhaust or get tired through overuse or great strain or stress,We wore ourselves out on this hike," أَجْهَدَ, أَنْهَكَ, أَتْعَبَ, أَعْيَا",يُرهِق بسبب كثرة الاستخدام أو الإجهاد الزائد,أُجهِدَت قواه بعد الركض مسافة طويلة. أنهكت نفسها في عمل دام عشر ساعات. أتعبه السفر الشاق. أعياني السير تحت الشمس
75174,"wash up, beat, exhaust, tucker, tucker out",wear out completely,This kind of work exhausts me; I'm beat; He was all washed up after the exam,"اِسْتَنْفَدَ, اِسْتَنْزَفَ",يستهلك القوة والطاقة بشكل كامل,استنفد العمل ليلاً قواه. استُنزِفتُ تماماً أثناء الامتحانات
77891,freeze,be cold,I could freeze to death in this office when the air conditioning is turned on,"تَجَلَّدَ, تَجَمَّدَ",يفقد الحرارة ويصبح بارداً جداً,"تجلّد الطعام في الثلاجة. شغل التدفئة، أكاد أتجمد من البرد"
78154,suffer,feel unwell or uncomfortable,She is suffering from the hot weather,عَانَى,يشعر بأنه في حال سيئة وغير مرتاح,أعاني من شدة الحر. هذا الموظف يعاني من قسوة المدير
78513,"treat, care for",provide treatment for,The doctor treated my broken leg; The nurses cared for the bomb victims; The patient must be treated right away or she will die; Treat the infection with antibiotics,عَالَجَ,يُزوِّد بالعلاج لمن يعاني من المرض أو الإصابات,يعالجه الأطباء من مرض نادر. يتم علاج الالتهاب بالمضاد الحيوي
80825,"administer, dispense",give or apply (medications),,GAP,يصف أو يعطي الدواء للمريض,يتدرب المسعفون على كيفية إعطاء الأدوية للمرضى
83562,"operate on, operate",perform surgery on,The doctors operated on the patient but failed to save his life,GAP,يقوم بإجراء عملية جراحية,سيتم إجراء عملية جراحية لي لاستئصال اللوزات
83983,"medicine, medicate","treat medicinally, treat with medicine",,دَاوَى,يعالج المرض باستخدام الدواء والعقاقير,داوت الممرضة الجرح بتعقيمه ووضع المراهم عليه
84491,"drug, dose",administer a drug to,They drugged the kidnapped tourist,GAP,يعطي جرعة من دواء أو عقار ما للشخص,أعطوه عقاراً منوماً ليخطفوه.
87206,"sicken, come down",get sick,"She fell sick last Friday, and now she is in the hospital",مَرِضَ,يصبح مريضاً وفي حالة صحية غير جيدة,مرِضتُ بسبب عدوى أصابتني
88091,poison,administer poison to,She poisoned her husband but he did not die,سَمَّمَ,يضع السم ويعطيه للشخص ليتناوله,سمموه بِدَسّ السم في طعامه
89076,disinfect,destroy microorganisms or pathogens by cleansing,disinfect a wound,عَقَّمَ,ينظِّف باستخدام المواد الكيماوية التي تقتل البكتيريا والفيروسات,يجب تعقيم الأدوات قبل العمل الجراحي
89938,"traumatize, shock, traumatise",inflict a trauma upon,,صَدَمَ,"يُحدث ضربة كبيرة ومؤثرة، جسدياً أو ذهنياً على أحدهم.",ما زالت مصدومة من تجربة في طفولتها. صدمه بالعصا على رأسه وسبب له الإغماء
90460,"mutilate, mar",destroy or injure severely,mutilated bodies,"شَوَّهَ، مَثَّلَ",يؤذي ويدمر بشكل عنيف بإزالة أجزاء من الشيء,جثث مشوهة. لا يجوز التمثيل بالحيوان الميت. 
90640,maim,injure or wound seriously and leave permanent disfiguration or mutilation,people were maimed by the explosion,شَوَّهَ,يتسبب بإصابة شديدة في أحد أعضاء الجسد ويترك علامة أو عاهة مستديمة تعطله عن العمل للأبد,شوه المجرم وجه الشخص بالسكين . تشوه جسده بعد انفجار اللغم فيه
90876,"wrick, rick, sprain, twist, wrench, turn",twist suddenly so as to sprain,wrench one's ankle; The wrestler twisted his shoulder; the hikers sprained their ankles when they fell; I turned my ankle and couldn't walk for several days,لَوَى,يثني شيئاً فجأة وبشكل عنيف حتى يتسبب له بالالتواء والإصابة,لوى اللاعب كاحله أثناء تسجيل الهدف. التوت ركبته أثناء الجري
91399,"cripple, lame","deprive of the use of a limb, especially a leg",The accident has crippled her for life,شَلَّ,يحرمه من استخدام أحد أطرافه بسبب إصابة ( وخاصة الساق ),شل الحادث ساقيه. أصابه الحادث بعرج في ساقيه مدى الحياة. 
91720,"disable, invalid, handicap, incapacitate",injure permanently,He was disabled in a car accident,"أَعْجَزَ, أَعَاقَ",يصيبه إصابة يعجز معها عن الحركة بطريقة طبيعية بشكل دائم,أعجزت الضربة حركة ذراعه للأبد. أصبح معاقاً بسبب الحادث
92045,"deteriorate, drop, degenerate, devolve",grow worse,Her condition deteriorated; Conditions in the slums degenerated; The discussion devolved into a shouting match,"تَدَهْوَرَ, سَاءَ",يتراجع وضعه ويصبح أسوأ,تدهورت الأوضاع الاقتصادية في الآونة الأخيرة. ساءت أحواله الصحية ودخل المشفى
92442,"convalesce, recuperate, recover",get over an illness or shock,The patient is recuperating,تَعَافَى,يتغلب على مرض أو صدمة ويصبح أفضل وأقوى,تعافى بعد أيام من إصابته بالمرض. 
93079,"regress, recidivate, lapse, retrogress, fall back, relapse",go back to bad behavior,Those who recidivate are often minor criminals,انتكس ,"عاد وتراجع عما كان عليه من خير، وتغير من الجيد إلى السيء",تقدم المريض لفترة ولكنه انتكس وتراجعت صحته
94214,"acquire, grow, get, develop, produce",come to have or undergo a change of (physical features and attributes),He grew a beard; The patient developed abdominal pains; I got funny spots all over my body; Well-developed breasts,ظَهَرَ,يطرأ عليه تغيرات ذات خصائص ومعالم جسدية,ظهرت بعض الحبوب على وجهي. ظهرت معالم الصبا عليها
97375,"regenerate, revitalize",restore strength,This food revitalized the patient,جَدَّدَ,يُعيد القوة والطاقة والحيوية التي فقدها لفترة,الماء البارد جدد لها الانتعاش بعد مشي طويل
99475,"exercise, work out",do physical exercise,She works out in the gym every day,تَمَرَّنَ,يقوم بحركات رياضية لتقوية الجسد والحفاظ على الصحة,أحب أن أتمرن صباحاً قبل الإفطار
99798,train,exercise in order to prepare for an event or competition,She is training for the Olympics,تَدَرَّبَ,"يُحضّر نفسه لوظيفة، نشاط، أو رياضة من خلال تعلّم المهارات أو بالتمرين الجسدي أو الذهني",إنه يتدرب من أجل مباراة كرة القدم. أتدرب تحضيراً للامتحان القادم.
100305,"work, work out, exercise",give a workout to,Some parents exercise their infants; My personal trainer works me hard; work one's muscles,"دَرَّبَ,  مرّن ","يساعد ويمرّن المتدرب على أداء التمارين الرياضية، أو يعطيه التمارين ليقوم بها",تمرّن الأم ساقي طفلها الرضيع. سأدرب عضلات ذراعي لتصبح أقوى
102340,harm,cause or do harm to,These pills won't harm your system,أضّرَّ,يسبب الضرر والأذى لشيء أو شخص,"قطعة صغيرة لن تضر حميتك. يمكننا مساعدتك، لن يضرك السؤال"
103071,"blush, crimson, flush, redden","turn red, as if in embarrassment or shame",The girl blushed when a young man whistled as she walked by,اِحْمَرَّ,تصبح الخدود باللون الوردي بسبب الارتباك عادة,احمرت خجلاً عندما صعدت وتحدثت على الملأ
103373,"pale, blanch, blench","turn pale, as if in fear",,"شَحِبَ, اِصْفَرَّ",يفقد لون الجلد الطبيعي ويتحول إلى الأصفر أو الباهت بسبب المرض أو الخوف,شحِب وجهه بسبب إصابته بفقر الدم. سمع أصواتاً مخيفة في الخارج فاصفرّ وجهه 
103495,etiolate,make pale or sickly,alcohol etiolates your skin,GAP,يتسبب في فقدان اللون الطبيعي للبشرة أو النبات ويحولها إلى لون مصفرّ أو باهت بسبب المرض أو نقص التغذية,جعله المرض يبدو شاحباً. نقص ضوء الشمس جعل النبتة شاحبة
104622,"discharge, expel, eject, release",eliminate (substances) from the body,,أَخْرَجَ,يخرج مواد سائلة أو صلبة أو غازية من أجزاء من الجسد ,كان يُخرِج الدم من أنفه. يخرج الطفل فضلاته في الحفاظ
105087,"emit, pass off, breathe",expel (gases or odors),,زَفَرَ,يطلق الهواء أو الروائح أثناء الزفير,لا يمكنني الخروج من المنزل لأنني أزفر رائحة الثوم. 
106714,"run over, run down","injure or kill by running over, as with a vehicle",,دَهَسَ,يتسبب في إصابة كائن حي أو قتله بسبب المرور عليه ودهسه بالمركبة مثلاً,دهستُ الحشرة بقدمي. 
107543,"break, fracture",fracture a bone of,I broke my foot while playing hockey,كَسَرَ,يكسر عظمة في جسده أثناء نشاط ما,كسر قدمه أثناء لعب الكرة
107747,fracture,break (a bone),She broke her clavicle,كَسَرَ,يكسر عظمة,كسر يده عندما وقع عليها
109468,change,undergo a change; become different in essence; losing one's or its original nature,She changed completely as she grew older; The weather changed last night,"تَبَدَّلَ, تَغَيَّرَ","يصبح مختلفاً في جوهره، ويطرأ عليه تغيرات كثيرة، ويفقد طبيعته الأساسية",تبدلت أحواله كلياً وأصبح غنياً. تغير الجو عما كان عليه الشهر الماضي
113536,gel,become a gel,"The solid, when heated, gelled",تَجَلَّلَ,يتغير من مادة سائلة إلى مادة هلامية كثيفة ناعمة لزجة,الحساء يتجلل ويصبح سميكاً على النار
113661,"animalize, brutalize, brutalise, animalise",become brutal or insensitive and unfeeling,,تَوَحَّشَ,يتجرد من الإحساس ويتعامل مع الغير بقسوة وعنف ولا إنسانية,في بعض السجون يتوحش الشرطة مع السجناء
