Id,English lemmas,English gloss,English examples,Arabic lemmas (by the translator),Arabic gloss,Arabic exampes,Deleted lemmas,New lemmas,Phrase,(Synset after cleaning_cleaned lemmas) or GAP
17275,"dope off, flake out, doze off, drift off, drop off, drowse off, fall asleep, nod off",change from a waking to a sleeping state,he always falls asleep during lectures,"غَفَا,[ نَامَ],[ نَعَسَ], [رَقَدَ]",الانتقال من حالة اليقظة إلى حالة النوم فجأة بسبب التعب الشديد أو النعاس,غفا الطفل وهو يتناول الطعام. غفوت وأنا أقرأ الكتاب,"  نَامَ ,  نَعَسَ ,  رَقَدَ ",,,غَفَا
17858,"sack out, hit the hay, crawl in, go to bed, go to sleep, bed, retire, hit the sack, turn in, kip down",prepare for sleep,I usually turn in at midnight; He goes to bed at the crack of dawn,رَقَدَ,الخلود للنوم والتحضير له بشكل إرادي,"الوقت متأخر، سأذهب للنوم. ارقد في سريرك يا صغيري",,,ذهب للنوم,رَقَدَ
18151,"arise, uprise, turn out, get up, rise",get up and out of bed,I get up at 7 A.M. every day; They rose early; He uprose at night,[اِسْتَيْقَظَ],ينهض من فراشه,أقوم من النوم  يومياً في السابعة صباحاً, اِسْتَيْقَظَ ,, قام من نومه ,GAP
18519,"awake, waken, arouse, awaken, wake, come alive, wake up",stop sleeping,She woke up to the sound of the alarm clock,"اِسْتَيْقَظَ, صَحَا, أَفَاقَ, أفَاقَ,[ نَهَض]",ينتهي نومه ,استيقظت على صوت المنبّه. أحب شرب القهوة عندما أصحو. أفاق على صوت الضجيج,  نَهَض ,,,"اِسْتَيْقَظَ, صَحَا, أَفَاقَ, أفَاقَ"
19441,affect,act physically on; have an effect upon,,[أَثَّرَ],يحدث تغييراً مادياً في شيء أو شخص ما,أثّر المرض على صحتها كثيراً. تؤثر الحرارة في ذوبان الثلج, أَثَّرَ ,,"أثّر في، أثّر على",GAP
20126,wake,"be awake, be alert, be there",,اِسْتَيْقَظَ,ينتبه بعد النوم ويصبح واعياً لمحيطه,عليّ أن أستيقظ باكراً غداً فلديّ عمل كثير,,,,اِسْتَيْقَظَ
22309,"sedate, tranquillise, tranquilize, tranquillize, calm",cause to be calm or quiet as by administering a sedative to,The patient must be sedated before the operation,"[هَدَّأَ بِالعَقَارَات]،  [هَدَّأَ], [سَكَّنَ الأَلَم], [ أَعْطَى مُسَكِّنَاً], [سَكَّنَ]",يجعله هادئاً أو غائباً عن الوعي بإعطائه عقاراً ما,إعطاء المنومات بكثرة يسبب الإدمان. يمكن إعطاء الحيوانات مهدئات لتسهيل التعامل معها," هَدَّأَ بِالعَقَارَات ،   هَدَّأَ ,  سَكَّنَ الأَلَم ,   أَعْطَى مُسَكِّنَاً ,  سَكَّنَ ",,"أعطى منوِّماً، أعطى مهدِّئاً",GAP
22679,"perk up, arouse, brace, energise, stimulate, energize",cause to be alert and energetic,Coffee and tea stimulate me; This herbal infusion doesn't stimulate,"[أثَارَ], نَشَّطَ,[ حَفَّزَ]",يسبب الإثارة والنشاط والتيقظ,هذا الكتاب يُنشط الخيال. تنشّطني القهوة عند تناولها صباحاً.," أثَارَ ,  حَفَّزَ ",,,نَشَّطَ
24807,"refresh, freshen, refreshen, freshen up",become or make oneself fresh again,She freshened up after the tennis game,اِنْتَعَشَ,يستعيد قوته ونشاطه ثانية بعد التعب أوالذبول,انتعشتُ بعد شراب االيمون,,,,اِنْتَعَشَ
25196,"tense, tense up, strain",cause to be tense and uneasy or nervous or anxious,he got a phone call from his lawyer that tensed him up,"[أَرْهَقَ],[ أَجْهَدَ], أَقْلَقَ, [أَتْعَبَ]",يسبب التوتر وعدم الارتياح كتوقع أو رد فعل لشيء غير متوقع أو غير سار,أقلقته نتيجة التحاليل المخبرية," أَرْهَقَ ,  أَجْهَدَ ,  أَتْعَبَ ",,,أَقْلَقَ
26378,"relax, loosen up, unbend, unwind, decompress, slow down","become less tense, rest, or take one's ease",He relaxed in the hot tub; Let's all relax after a hard day's work, إِسْتَرْخَى,يخفف من حدة التوتر والتحفّز والقلق ويعطي جسده وعقله فرصة للاستراحة من التعب,"استرخى على السرير بعد يوم شاق. لا تشغل بالك بشيء، فقط استرخِ", اٍرْتَاحَ ,,,إِسْتَرْخَى
27261,"extend, stretch","extend one's limbs or muscles, or the entire body",Stretch your legs!; Extend your right arm above your head,"[تَمَدَّدَ], [مَطَّ], [مَدَّ], [بَسَطَ], [تَمَطَّطَ]، (مدّدَ)","يبسط أطرافه أو عضلاته، أو كامل جسده",مدّد جسده على السرير . مدِّد عضلات الساقين أثناء التمرين," تَمَدَّدَ ,  مَطَّ ,  مَدَّ ,  بَسَطَ ,  تَمَطَّطَ ", مدّدَ ,, مدّدَ
28558,smile,"change one's facial expression by spreading the lips, often to signal pleasure",,اِبْتَسَمَ,"تعبير وجهيّ ودود حيث يحني زاويتي الشفتين إلى الأعلى، يشير إلى السرور والرضا، أو الاستهزاء أحياناً",ابتسم الوالد مسروراً بتصرف ابنه. ابتسمت عندما رأته ,,,,اِبْتَسَمَ
29018,grin,"to draw back the lips and reveal the teeth, in a smile, grimace, or snarl",,كَشَّرَ,"تعبير وجهي حيث يبتسم ابتسامة عريضة مع فتح الشفتين وظهور الأسنان، تدل على ابتسامة أو تكشيرة أو زمجرة",كشّر وهو ينظر إليها,,,,كَشَّرَ
30640,"collapse, break down","collapse due to fatigue, an illness, or a sudden attack",,"[تَعَطَّلَ], اِنْهَار",يتدهور ويسقط فجأة بسبب الضغط أو الضعف الشديد وانعدام الدعم,انهارت العملة المحلية. انهار بعد العمل الشاق, تَعَطَّلَ ,,,اِنْهَار
31270,"fall over, go over",fall forward and down,The old woman went over without a sound,"[سَقَطَ]، تعثّر، زلّ",يفقد توازنه ويسقط أرضاً باتجاه الأمام,عندما تعثرت المرأة العجوز جاء الناس لمساعدتها. زلّ بسبب الأحجار في طريقه فسقط أرضاً, سَقَطَ ,,," تعثّر، زلّ"
31813,"laugh, express joy, express mirth",produce laughter,,ضَحِكَ,يظهر السرور بابتسامة ذات صوت مسموع,ضحكنا كثيراً على أحداث المسرحية الكوميدية.,,,,ضَحِكَ
33592,look,have a certain outward or facial expression,How does she look?; The child looks unhappy; She looked pale after the surgery,"[بَانَ], [ظَهَرَ], بَدَا",يملك تعابير خارجية أو وجهية تدل على الشكل أو المشاعر,تبدو شاحبة بسبب المرض. يبدو الطفل حزيناً ," بَانَ ,  ظَهَرَ ",,,بَدَا
33948,shrug,raise one's shoulders to indicate indifference or resignation,,[ اِسْتَهْجَنَ],يحرك كتفيه للأعلى ثم للأسفل للدلالة على اللامبالاة أو عدم المعرفة بشيء ما أو رفض الشيء,"قال لها: ""كيف لي أن أعرف؟"" وهز كتفيه استهجاناً",  اِسْتَهْجَنَ ,,هَزَّ كَتِفَيْه اِسْتِهجَانَاً,GAP
34281,"make a face, grimace, pull a face",contort the face to indicate a certain mental or emotional state,He grimaced when he saw the amount of homework he had to do,"عَبَسَ,[ قَطَبَ],[ تَجَهَّمَ], [كَشَّرَ]",تحريك أعضاء الوجه بطرق معينة تعبر عن المشاعر أو الاستياء والازدراء,عبس عندما رأى كمَّ العمل المتراكم عليه,"  قَطَبَ ,  تَجَهَّمَ ,  كَشَّرَ ",,,عَبَسَ
35769,"cleanse, clean","clean one's body or parts thereof, as by washing",clean up before you see your grandparents; clean your fingernails before dinner,نَظَّفَ,"يزيل الأوساخ والمواد الضارة عن أجزاء الجسد، كغسلها بالماء مثلاً",ينظف يديه قبل الأكل. ينظف الجرح جيداً,,,,نَظَّفَ
36355,"wash, lave",cleanse (one's body) with soap and water,,"[شَطَف],[ إِغْتَسَلَ], غَسَلَ",ينظف جسده باستخدام الماء والصابون,غسل يديه من الأوساخ," شَطَف ,  إِغْتَسَلَ ",,,غَسَلَ
40084,"groom, neaten",care for one's external appearance,He is always well-groomed,"رَتَّبَ, [نَظَّفَ]",يهتم بمظهره الخارجي من حيث الأناقة والنظافة ,رتبت نفسها على المرآة وخرجت من المنزل.,  نَظَّفَ ,,,رَتَّبَ
40659,make up,apply make-up or cosmetics to one's face to appear prettier,She makes herself up every morning,"[تَزَيَّنَ], تَجَمَّلَ",يستخدم المساحيق التجميلية على الوجه ليبدو أجمل,لا تتجملي كثيراً بالمساحيق فوجهك أجمل على طبيعته, تَزَيَّنَ ,,,تَجَمَّلَ
44528,"dress, dress up",dress in a certain manner,She dresses in the latest Paris fashion; he dressed up in a suit and tie,لَبِسَ,يرتدي ملابس محددة في مناسبات معينة,لبِسَتْ العباءة السوداء في حفل تخرجها. عليه أن يلبس زي المدرسة يومياً,,,,لَبِسَ
45548,"reduce, slenderize, lose weight, thin, slim down, melt off, slim",take off weight,,"[نَقَّصَ], نَحُفَ, [قَلَّلَ], [رَقَّ],[ خَفَّّضَ], أَنْقَصَ",ينقص الوزن ويجعله نحفياً خفيفاً أو هو يبدو كذلك,قرر أن ينقص وزنه بعد معاناة مع البدانة. نحُفت كثيراً بسبب المرض," نَقَّصَ ,  قَلَّلَ ,  رَقَّ ,  خَفّضَ ",,,"نَحُفَ, أَنْقَصَ"
45868,"gain, put on",increase (one's body weight),She gained 20 pounds when she stopped exercising,"[اِزْدَادَ], زَادَ,[ اِكْتَسَبَ], سَمِنَ",يزيد الوزن ويجعل أكثر ضخامة أو هو يبدو كذلك,زاد وزنه عشرة كيلوغرامات عندما توقف عن التمرين. سَمِنَ كثيراً بسبب الإفراط في الطعام. ," اِزْدَادَ ,   اِكْتَسَبَ ",,," زَادَ, سَمِنَ"
46251,"dress, get dressed",put on clothes,we had to dress quickly; dress the patient; Can the child dress by herself?,"لَبِسَ، (ألبس)",تضع عليك الثياب أو تضعها على غيرك,لا يمكنني أن ألبس هذا القميص فهو ضيق. ألبست صغيرتها الفستان الجديد,, ألبس ,,"لَبِسَ،  ألبس"
47034,"try, try on",put on a garment in order to see whether it fits and looks nice,Try on this sweater to see how it looks,"[جَرَّبَ],[ لَبِسَ], قَاسَ",يرتدي الثوب لتجربته ومعرفة إن كان ملائماً من ناحية القياس والألوان الخ,أريد أن أقيس البنطال الأسود والأبيض من فضلك," جَرَّبَ ,  لَبِسَ ",,,قَاسَ
47462,"wear, bear",have on one's person,He wore a red ribbon; bear a scar,"[اِرْتَدَى], وَضَعَ, [تَقَلَّدَ],[ لَبِسَ]",يرتدي عليه شيئاً من الثياب أو ملحقاتها,وضع القبعة على رأسه. وضعت شرائط حمراء على ضفائرها. وضعت السوار في يدها," اِرْتَدَى ,  تَقَلَّدَ ,  لَبِسَ ",,,وَضَعَ
47662,"apparel, tog, habilitate, garb, fit out, clothe, dress, raiment, garment, enclothe",provide with clothes or put clothes on,Parents must feed and dress their child,"[لَبَّسَ],[ أَلْبَسَ], [زَوَّدَ بِمَلابِس],[ كَسَا],  [قَدَّمَ كِسْوَة]",تقديم الثياب للغير من باب المسؤولية والدعم,قدم المتبرعون بعض الكسوة الشتوية لسكان المخيمات. قدم الأهل ملابس العيد لأطفالهم," لَبَّسَ ,  أَلْبَسَ ,  زَوَّدَ بِمَلابِس ,  كَسَا ,   قَدَّمَ كِسْوَة ",,"قَدَّمَ كُسْوَة, قَدَّم المَلْبَس,",GAP
50369,"get into, don, wear, put on, assume",put clothing on one's body,What should I wear today?; He put on his best suit for the wedding; The princess donned a long blue dress; The queen assumed the stately robes; He got into his jeans,"[إِرْتَدَى], لَبِسَ",يضع الثياب عليه,اليوم سألبس فساتني الأبيض. لبس حذاءه الجديد., إِرْتَدَى ,,,لَبِسَ
52091,"wear, have on",be dressed in,She was wearing yellow that day,"[وَضَعَ], [تَقَلَّدَ], إِرْتَدَى, لَبِسَ",يكون مرتدياً ثياباً,ارتدت ثياباً جميلة. كانت تلبس الأسود," وَضَعَ ,  تَقَلَّدَ ",,,"إِرْتَدَى, لَبِسَ"
52265,"inseminate, fecundate, fertilise, fertilize",introduce semen into (a female),,"خَصَّبَ, لَقَّحَ",يدخل السائل المنوي الذكري في الجهاز التناسلي الأنثوي جنسياً أو اصطناعياً,يتم استخدام الآلة لتخصيب البقرة. تُفحص عينة السائل المنوي قبل التلقيح الاصطناعي,,,,"خَصَّبَ, لَقَّحَ"
52876,"prang up, knock up, bang up, impregnate",make pregnant,He impregnated his wife again,"[حَبَّلَ],[ خَصَّبَ], [أخْصَبَ], لَقَّحَ",يجعل الأنثى حاملاً بالجنين,من طرق الحمل التلقيح الاصطناعي. ," حَبَّلَ ,  خَصَّبَ ,  أخْصَبَ ",,,لَقَّحَ
54856,"reproduce, procreate, multiply",have offspring or young,"The deer in our neighborhood reproduce madly; The Catholic Church tells people to procreate, no matter what their economic situation may be","تَكَاثَرَ, [أنْجَب], تَنَاسَلَ,[ أنْسَلَ],[ تَوَالَدَ], [وَلَدَ]",ينتج أفراداً صغاراً من نفس النوع,تتكاثر الكائنات الحية جنسياً أو لا جنسياً. يتناسل الحصان مرة أو اثنتين كل عام," أنْجَب ,   أنْسَلَ ,  تَوَالَدَ ,  وَلَدَ ",,,"تَكَاثَرَ, تَنَاسَلَ"
55613,propagate,"cause to propagate, as by grafting or layering",,"[وَالَدَ], كَاثَرَ",يساعد في عملية التكاثر بطرق عدة كالتطعيم والتلقيح الاصطناعي,التطعيم يكاثر الشجر. لتكاثر الأولاد يمكن القيام بالتلقيح الاصطناعي, وَالَدَ ,,,كَاثَرَ
56644,"deliver, bear, have, give birth, birth",cause_to_be_born,My wife had twins yesterday!,وَلَدَ,تُخرج الجنين من رحمها إلى الوجود بعد انقضاء فترة الحمل,وَلدت زوجتي توأماً بالأمس,,,,وَلَدَ
57988,lamb,give birth to a lamb,the ewe lambed,"[وَلَدَت], [وَضَعَت]",تُخرج حمَلاً صغيراً من رحمها آلى الوجود,وَلدتْ النعجة حمَلاً," وَلَدَت ,  وَضَعَت ",,وَلدتْ حمَلاً,GAP
58790,"gestate, expect, bear, have a bun in the oven, carry",be pregnant with,She is bearing his child; The are expecting another child in January; I am carrying his child," [تَرَقَّبَ],[ تَوَقَّعَ], [إِنْتَظَرَ], [حَمَلَتْ]",تحمل مولوداً وتنتظر قدومه,إنهما ينتظران مولوداً في الشهر القادم,"  تَرَقَّبَ ,  تَوَقَّعَ ,  إِنْتَظَرَ ,  حَمَلَتْ ",,تَنْتَظِرُ مَوْلُودَاً,GAP
60604,"emasculate, demasculinise, castrate, demasculinize",remove the testicles of a male animal,,خَصَى,يزيل الخصي والأعضاء التناسلية من الذكر,إخصاء ذكور القطط يحميها من السلوك العدواني,,,,خَصَى
61366,"sterilise, unsex, desex, desexualise, fix, sterilize, desexualize",make infertile,"in some countries, people with genetically transmissible disabilites are sterilized","[عَقَرَ], [خَصَى], عَقَّمَ",يجري عملاً جراحياً ليصبح عقيماً ولا يستطيع إنجاب الأطفال,بعد إنجاب خمسة أطفال قررت أن يتم تعقيمها," عَقَرَ ,  خَصَى ",,,عَقَّمَ
63062,irritate,"excite to an abnormal condition, of chafe or inflame",Aspirin irritates my stomach,"[أغَاظَ],[ أثَارَ], [أعْضَبَ]، (يهيج)",يُسبّب حالة غير طبيعية من الألم أو الالتهاب أو التهيج في أحد أجزاء جسدك,هذا المرهم هيّج الطفح الجلدي لدي.  دواء يهيّج المعدة," أغَاظَ ,  أثَارَ ,  أعْضَبَ ",,,  يهيج
63866,"palliate, alleviate, relieve, assuage","provide physical relief, as from pain",This pill will relieve your headaches,"[أرَاحَ],[ لَطَّفَ], خَفَّفَ, سَكَّنَ",يخفف من الألم وأعراض المرض السيئة دون علاجه,قرص الأسبيرين يخفف الصداع. هذا الدواء يسكن الألم لكنه لا يعالج الالتهاب," أرَاحَ ,  لَطَّفَ ",,,"خَفَّفَ, سَكَّنَ"
64414,hurt,give trouble or pain to,This exercise will hurt your back,"[أَوْجَعَ], آذَى,[ آلَمَ], أَضَرَّ, [ضَرَّ]",يُسبب ألماً أو إصابة لنفسه أو لغيره, انتبه أن تؤذي نفسك بالسكين. حمل الأشياء الثقيلة يضر بالظهر.," أَوْجَعَ ,   آلَمَ ,  ضَرَّ ",,," آذَى, أَضَرَّ"
64660,indispose,cause to feel unwell,She was indisposed,وَعَكَ,يُسبب الشعور بالألم وعدم الراحة وكون الجسم غير متوازن صحياً,كان متوعكاً أمس ولم يستطع النهوض من سريره,,,,وَعَكَ
64841,"suffer, hurt",feel pain or be in pain,,"عَانَى, [تَعَذَّبَ], قَاسَى, [تَأَلَّمَ]",يشعر بالمشقة والقسوة والصعوبة والألم في فترة معينة,عانى الشعب من ويلات الحرب. أقاسي من برد الشتاء كل عام,"  تَعَذَّبَ ,  تَأَلَّمَ ",,,"عَانَى, قَاسَى"
65141,have,suffer from; be ill with,She has arthritis,عَانَى,يكون مريضاً بمرض ما,تعاني من فقر الدم,,,,عَانَى
65266,be well,be healthy; feel good,She has not been well lately,"[كَانَ حَسَنَاً],[ كَانَ جَيِّداً], [كَانَ مُعَافَى]",يكون بصحة جيدة ولا يشتكي من الأمراض,كانت بحالة جيدة مؤخراً ولم تشكُ من أي مرض," كَانَ حَسَنَاً ,  كَانَ جَيِّداً ,  كَانَ مُعَافَى ",,كان بحال جيدة,GAP
65410,"sustain, suffer, have, get",undergo (as of injuries and illnesses),She suffered a fracture in the accident; He had an insulin shock after eating three candy bars; She got a bruise on her leg; He got his arm broken in the scuffle,"[عَانَى مِن], اشْتَكَى مِن", يقاسي ويتحمل الألم والمرض,اشتكى من آلام في الحلق. اشتكت من كدمة في قدمها, عَانَى مِن ,,,اشْتَكَى مِن
65796,"whimper, wail, mewl, pule",cry weakly or softly,she wailed with pain,"[بَكَى], [اِنْتَحَبَ],[ نَاحَ], [نَحَبَ],[ تَاَوَّه], أنَّ",يبكي بشكل مطول ومسموع ولكن بهدوء بسبب الحزن أو الألم,أنّ الطفل بسبب الجوع. يئنّ من الألم," بَكَى ,  اِنْتَحَبَ ,  نَاحَ ,  نَحَبَ ,  تَاَوَّه ",,,أنَّ
65962,"cry, weep","shed tears because of sadness, rage, or pain",She cried bitterly when she heard the news of his death; The girl in the wheelchair wept with frustration when she could not get up the stairs,"بَكَى,[ صَرَخ],[ انْتَحَبَ]",يذرف الدموع بسبب الحزن أو الغضب أو الألم الخ,بكى عند فراق صديقه. يبكي الصغير حين يضربه والداه,"  صَرَخ ,  انْتَحَبَ ",,,بَكَى
66748,tear,fill with tears or shed tears,Her eyes were tearing,أدْمَعَ,يُنزل الدمع من العينين بسبب تهيجها أو بكائها الخ,ظل يُضحكني حتى أدمع عينيّ. أدمع البصل عينيّ,,,,أدْمَعَ
69650,"injure, wound",cause injuries or bodily harm to,,"[جرح ], آذَى",يتسبب بالأذى أو الضرر أو الإصابات الجسدية,آذى يده بالسكين وتسبب في نزفها جرحها. آذى قدمه أثناء لعب الكرة., جرح  ,,,آذَى
70210,trample,injure by trampling or as if by trampling,The passerby was trampled by an elephant,"دَاسَ, [وَطَأَ]",يتم إيذاؤه بسبب الدوس عليه ,داس أحدهم على أزهاري فأتلفها, وَطَأَ ,,,دَاسَ
70949,"torment, torture, excruciate",subject to torture,"The sinners will be tormented in Hell, according to the Bible",عَذَّبَ,يتسبب بإيذاء جسدي أو ذهني كبير للشخص,تم تعذيب السجناء ظلماً. ,,,,عَذَّبَ
71399,"martyr, martyrize, martyrise",torture and torment like a martyr,,"[عَذَّبَ], [قَتَل مِن أَجْل مُعْتَقَد]",يعذِّب أو يقتل الشهيد من أجل معتقد ديني,لم يطعهم في ترك دينه فعذبوه," عَذَّبَ ,  قَتَل مِن أَجْل مُعْتَقَد ",,عُذّب من أجل معتقد,GAP
71556,"pull, overstretch",strain abnormally,I pulled a muscle in my leg when I jumped up; The athlete pulled a tendon in the competition,"شَدَّ, [مَزَّقَ]",يُجهد ويُرهق بشكل غير طبيعي,شَدَدتُ عضلة في ظهري أثناء حمل الألواح عليه. شدّ أوتار الركبة بسبب إجهادها بالتمرين,  مَزَّقَ ,,,شَدَّ
74311,"bind, constipate",cause to be constipated,These foods tend to constipate you,"[قَبَضَ], أَمْسَكَ",يقبض الأمعاء ويجعلها غير سالكة وغير قادرة على إفراغ فضلاتها ,النشويات تُمسك الأمعاء, قَبَضَ ,,,أَمْسَكَ
74774,"wear upon, weary, jade, outwear, wear out, fatigue, tire, fag out, fag, tire out, wear, wear down",exhaust or get tired through overuse or great strain or stress,We wore ourselves out on this hike,"[أَبْلَى], أَجْهَدَ, أَنْهَكَ, أَتْعَبَ, أَعْيَا",يُرهِق بسبب كثرة الاستخدام أو الإجهاد الزائد,أُجهِدَت قواه بعد الركض مسافة طويلة. أنهكت نفسها في عمل دام عشر ساعات. أتعبه السفر الشاق. أعياني السير تحت الشمس, أَبْلَى ,,," أَجْهَدَ, أَنْهَكَ, أَتْعَبَ, أَعْيَا"
