PWN Synset ID,English lemmas,English Gloss,English Examples,Arabic lemmas or Gap,Arabic gloss,Arabic examples,Phrase
28950,"infinite, space",the unlimited expanse in which everything is located,he moved the books to have more space on his desk./all objects occupy a space in the infinite,"فَضَاء, فَرَاغ, حَيِّز",مدى ثلاثي الأبعاد تتموضع فيه الأشياء, كل الأجسام تحتل مكاناً في الفضاء. هندسة الفراغ تهتم بدراسة الأجسام ثلاثية الأبعاد ذات الطول والعرض والارتفاع. أزاح الكتب قليلاً ليكون لديه حيزاً أكبر.,
29677,event,something that happens at a given place and time,"parties, receptions and banquets are considered fun social events","حَدَث, وَاقِعَة",شيء ما  يحدث في مكان وزمن معين,تتوالى الأحداث في هذا المسلسل حتى يصل إلى النهاية السعيدة. تعتبرالحفلات والولائم وقائع اجتماعية,
29976,"process, physical process",a sustained phenomenon or one marked by gradual changes through a series of states,dissolving salt in water or freezing water are physical processes,عملية فيزيائية,سلسلة تغيرات تؤدي إلى تغيير الشكل المادي للمادة,التبخر والانصهار والتكاثف هي عمليات فيزيائية,
30657,"act, human action, human activity",something that people do or cause to happen,human activity is the main cause of draught and pollution,"نَشَاط بَشَري,فِعْل بَشَري",ما يفعله أو يتسبب به البشر ( سلباً أو إيجاباً ),"يؤثر النشاط البشري على البيئة بشكل مباشر، أفعال  البشر هي المسبب الرئيسي للقحط والتلوث على الأرض",
31563,"grouping, group",any number of entities (members) considered as a unit,this will allow the grouping to work better./ I think it's easier if we go there as a group,"   مَجْمُوعَة, جَمَاعَة, زُمْرَة",عدد من الأفراد  ( أشخاص أو أشياء ) يعتبر وحدة واحدة,"قسمت المعلمة التلاميذ إلى أربع مجموعات، هذا الأمر يسمح للجماعة بالعمل بشكل أفضل، لنذهب هناك كزمرة واحدة",
32220,relation,an abstraction belonging to or characteristic of two entities or parts together,what you've said has no relation to the subject we are talking about,"عَلاقَة, صِلَة, رَابِطَة",الاقتران أو الانتماء بين الكيانات سوياً,هذا الحدث زاد من توتر العلاقة بين البلدين. ما قلتَه للتو ليس له أي صلة بالموضوع. الزواج هو رابط مقدس بين الرجل والمرأة,
32912,possession,anything owned or possessed,this camera is one of my most precious possessions,"مِلْك, مِلْكِيَّة ,ممتلكات",ما تستحوذ عليه مع إمكانية التحكم به,"هذا المنزل ملك لي. تعود ملكية الحصص بكاملها إلى صاحب الشركة، هذه الكتب من أغلى ممتلكاتي.",
33122,social relation,a relation between living organisms (especially between people)," nowadays, I am avoiding social relations ",عَلاقَة إجْتِمَاعِيَّة,الرابط بين الأشخاص,تكوين العلاقات الاجتماعية يدعم معرفة الإنسان ويزيد خبراته,
33319,communication,something that is communicated by or to or between people or groups,television is an sffective means  of communication,"إِعْلام, إِبْلاغ,تواصل",عملية تبادل المعلومات بين الأفراد أو الجماعات بوسائل مختلفة,الكلام هو أسرع وسيلة إعلام بين الناس. يعتبر التلفاز طريقة إبلاغ فعالة. أصبح الإنترنت هو الأداة الرئيسية للتواصل بين الناس.,
33914,"measure, quantity, amount",how much there is of something that you can quantify,he has a big amount of money./ police found large quantities of heroine inside his house,"مِقْدَار,  قَدْر, كَمّ, كَمِّيَّة",مقدار شيء ما يمكن إحصاؤه بالقياس, أضافت مقداراً زائداً من الملح في الطعام. يملك قدراً كبيراًمن المال.  ضبطت الشرطة كمّاً كبيراً من المخدرات في منزله. تطلق المصانع يومياً كميات هائلة من الملوِّثات في الهواء والماء.,
34512,phenomenon,any state or process known through the senses rather than by intuition or reasoning,earthquake is considered to be a natural phenomenon,ظَاهِرَة,أي حقيقة أو حدث يمكن إدراكه بالحواس وليس بالحدس أو الحكم العقلي,العنف من الظواهر الخطيرة المنتشرة حالياً والتي لها آثار سلبية كثيرة,
34778,thing,an action,"I am not a theif, I have done no such a thing",عمل,تعبيرسلبي للإشارة إلى عمل سييء أو صعب,القيام بعمل كهذا يجعلك تبدو غبياً,
35041,"kindness, benignity",a kind act,thank you for your kindness," رَحْمَة, لِين, لُطْف, رِفْق",العمل اللطيف,الرحمة بالحيوانات خلق سامٍ. تتعامل الأم مع صغارها بلين وحب. إنه لطف منك أن تساعدني. علينا أن نتعامل برفق مع الأطفال.,
35910,"accomplishment, achievement",the action of accomplishing something,the accomplishment of this task was like a miracle,"إِكْمَال, إتْمَام, إِنْجَاز",القيام بإنجاز أو إنهاء عمل ما,علي إكمال كل أعمالي قبل المغادرة.عليك إتمام واجبك في الوقت المحدد. إنجاز هذه المهمة أشبه بالمعجزة. ,
37483,"exploit, deed, feat, effort",a notable achievement,a racing car is  an extraordinary feat of engineering,"صَنِيْع, مَأْثَرَة,عَمَل فَذّ,عَمَل بُطُولِي,اِنْجَازهام ",كل عمل ملحوظ  تم إنجازه بجهد ومهارة وقوة وشجاعة,صنائع المعروف تقي مصارع السوء. ترك أجدادنا مآثر كبيرة تحكي بها الأجيال القادمة. عمل بطولي لطفلة بعمر عشر سنوات ينقذ أختها الصغرى من الغرق. التوسع العمراني من الإنجازات الهامة في البلاد.,
38116,action,something done (usually as opposed to something said),actions are more important than words,فعل,عمل شيء ما لغرض معين,"هذا الصحفي غالباً ما ينتقد أفعال الحكومة في كتاباته، الأفعال أصدق من الأقوال",
39000,"course, course of action",a mode of action,ask your teacher about the best course of action you can follow,"أُسْلُوْب, مَنْهَج, مَسْلَك, طَرِيقَة",كيفية إتمام وإنجاز الأعمال,لقد قررت أسلوب العمل الذي سأتبعه. يتبع هذا المعلم منهجاً مميزاً في التدريس. مسلكه في الحياة نموذج يحتذى. طريقتها في تربية أبنائها رائعة. قام المدير بجولة تفقدية للاطمئنان على مسار العمل.,مسار العمل
39759,interaction,a mutual or reciprocal action; interacting,school games are usually intended to encourage student interaction, تَفَاعُل,عمل يحدث بين شيئين أو أكثر ويؤثران على بعضهما البعض,"يعمل التفاعل الكيميائي على تحويل المادة  إلى مادة جديدة كلياً، الهدف من الألعاب المدرسية زيادة تفاعل الطلاب",
40035,contact,close interaction,have you been in contact with her?,اِتِّصَال,التقارب والتواصل,أنا على اتصال دائم بأصدقائي وأعرف كل التفاصيل عنهم,
40890,"interchange, reciprocation, give-and-take",mutual interaction; the activity of reciprocating or exchanging (especially information),plants do a gaseous interchange between oxygen and carbon dioxide for respiration and feeding, تَبَادُل,"عملية التفاعل المتبادل، وخصوصاً تبادل المعلومات",تبادل الأبحاث والإحصائيات بين العلماء الذين يعملون على دراسات متشابهة يمكن أن يؤدي إلى اكتشافات جديدة,
41542,"traffic, dealings",social or verbal interchange (usually followed by `with'),what isthe better way of dealing with this?,"مُعَامَلَة, تَعَامُل",تبادل شفهي أو  اجتماعي,معاملة المدير مع الموظفين لطيفة جداً. لقد كان لبقاً في التعامل مع الزبائن.,
41700,relation,(usually plural) mutual dealings or connections among persons or groups,the two countries agreed to establish diplomatic relations,عَلاقَة,الصلات والروابط بين الأشخاص أو المجموعات,إننا نسعى لتحسين العلاقات بين البلدين,
42206,"swordplay, play",the act using a sword (or other weapon) vigorously and skillfully,some are performing swordplay,"تَبَارُز, مُبارَزَة",عملية القتال بالسيف ونحوه,"مارس الإنسان المبارزة بالسيف منذ آلاف السنين، بعض المحترفين يمارسون  لعبة التبارز",
42637,"getting, acquiring",the act of acquiring something,he worked on acquiring great knowledge of medicine,"اِكْتِسَاب, حُصُول, أَخْذ, نَيْل",عملية امتلاك الشيء,"ينص القانون الدولي على عدم جوازاكتساب الأراضي بالقوة، لقد عمل على الحصول على معرفة كبيرة بالدواء، إنها تدرس جيداً  لأخذ نتيجة ممتازة، نيل ما ترغب به يكون بالسعي والاجتهاد ",
43049,"causing, causation",the act of causing something to happen,the gene is only part of the causation of illness,تَسَبُّب,عملية إحداث شيء ما  يكون هو المسبب له,التسبب بالأذى أمر يخالف القانون,
43279,"delivery, obstetrical delivery",the act of delivering a child,I wish you an easy delivery and a healthy baby,"اِنْجاب, وِلادَة, وَضْع",عملية خروج الجنين خارج رحم الأنثى بعد فترة الحمل,علينا التفكير ملياً قبل إنجاب الأطفال. لقد عانت زوجتي كثيراً أثناء وضع مولودها. أتمنى لكِ ولادة سهلة وطفلاً سليماً.,
43495,"going, leaving, departure, going away",act of departing,leaving my home is so hard ,"مُغَادَرَة, ذِهَاب, رَحِيل",عملية ترك المكان إلى مكان آخر,علينا مغادرة هذا المكان فوراً قبل أن يعثروا علينا. الذهاب في عطلة أمر ضروري كل فترة. أحياناً يكون الرحيل إلى بلاد أخرى أمراً اضطرارياً .,
43933,"uncovering, discovery, find",the act of discovering something,his research led to an important discovery about the desease,"إِكْتِشَاف, كَشْف, عُثُور",عملية إيجاد شيء ما لم يكن موجوداً ,كان اكتشاف البنسيلين حدثاً طبياً هاماً. أدى بحثه المتواصل  إلى كشف الكثير حول المرض. تم عثور على كنز ثمين أثناء الحفر.,
44347,"disposal, disposition",the act or means of getting rid of something,the disposal of rubbish is always a problem," تَخَلُّص من شيء, وسيلة للتَخَلُّص من شيء",عملية رمي الشيء او التحرر منه,عليك ترتيب غرفتك والتخلص من الأشياء غير المفيدة. تعتبر وسائل التخلص من القمامة مشكلة كبيرة.,
44640,hit,(baseball) a successful stroke in an athletic contest (especially in baseball),it was a great fastball hit,ضَرْبَة,الضربة الموفقة في الرياضة (بالأخص كرة البيسبول ) ,لقد  كانت لعبة بيسبول حماسية حيث استطاع ذلك اللاعب ضرب الكرة داخل القاعدة عدة مرات,
44888,"implementation, effectuation",the act of implementing (providing a practical means for accomplishing something); carrying into effect,the imlementation of such a program will be difficult,"تَنْفِيذ, تَطْبِيق",عملية تفعيل خطة ما ,سيتم تنفيذ المشروع خلال أيام. تطبيق برنامج كهذا سيكون أمراً صعباً.,
45193,"emergence, egress, egression",the act of coming (or going) out; becoming apparent,we are witnessing the emegence of a true civil society,"ظُهُور, بُزُوغ",عملية مجيء شيء خفي وبدء ظهوره واتضاحه ليصبح ظاهراً,أدى ظهور وسائل التواصل الاجتماعي إلى تغيير مفاهيم الصداقة جذرياً. إننا نشهد ظهور المجتمع المتحضر الحقيقي. بزوغ الشمس صباحاً مشهد يشرح النفس.,
45991,"actuation, propulsion",the act of propelling,actuation of this app needs a password," تَسْيِير,تشغيل",عملية وضع الآلة قيد العمل أو وضع العملية قيد التفعيل,تسيير المركبة يحتاج الوقود الكافي. يحتاج تشغيل الآلات الثقيلة إلى الخبرة والمهارة في استخدامها.,
46648,"recovery, retrieval",the act of regaining or saving something lost (or in danger of becoming lost),recovery of data is impossible after deleting it,"إِسْتِرْجَاع, اِسْتِرْدَاد,استعادة",عملية استعادة الأشياء الضائعة أو المأخوذة والحصول عليها من جديد.,"تم استرجاع المبالغ المسروقة عند القبض على اللصوص، يحارب الجيش لاسترداد أرضه المحتلة، استعادة البيانات أمر غير ممكن بعد حذفها",
46918,running away,leaving (without permission) the place you are expected to be,animals react to threatrning situations by running aw, هُرُوب,المغادرة بشكل سري ومفاجئ,استطاع السارق الهروب من الشرطة قبل الإمساك به,
47085,stunt,a difficult or unusual or dangerous feat; usually done to gain attention,they jumped off London bridge as a publicity stunt,مُخَاطَرَة,عمل خطير أو جريء يكون غالباً للفت النظر,آخر مخاطراته ركوب الدراجة النارية عبر حلقات اللهب,
47263,"touch, touching",the act of putting two things together with no space between them,touching the bottom will start the machine,"لَمْس, مُلامَسَة",عملية التحسس بخفة بين شيئين,"تنتقل بعض الأمراض عن طريق لمس أدوات المريض، ملامسة الأم لرضيعها تشعره بالأمان",
48966,"arrival, reaching",accomplishment of an objective,her designs led to the arrival of new dresses," تَوَصُّل, بُلُوغ, وُصُول",إتمام  هدف ما بعد  تخطيط أو تفكير ,تصاميمها أدت إلى التوصل إلى فساتين رائعة. بلوغ أهدافي في الحياة هو ما أطمح إليه. ساهمت الأبحاث في الوصول إلى علاج جديد للسرطان. ,
49115,arrival,the act of arriving at a certain place,the flight's estimated time of arrival is 11.30,وُصُوْل,عملية المجيء إلى مكان معين بعد رحلة مكانية,سأتصل بك عند الوصول إلى المكتب,
49569,"advent, coming",arrival that has been awaited (especially of something momentous),we are waiting for the coming of winter eagerly,"مَجِيء, قُدُوم",بداية حدث أو وصول شيء منتظر,ننتظر مجيء المولود الجديد بفارغ الصبر. قدوم الحكومة الجديدة أحدث تغييرات كثيرة في البلاد.,
49744,"entrance, incoming, entering, entry, ingress",the act of entering,he was denied entry to the office,دُخُول,عملية اتخاذ مكان جديد أو البدء بحالة جديدة., إنهما يستعدان لدخول القفص الذهبي. الدخول إلى هنا ممنوع,
50857,"enrolment, registration, enrollment",the act of enrolling,all fees must be paid on enrolment,"اِنْخِرَاط, تَسْجِيل",عملية الانضمام أو الالتحاق بمجال رسمي والاشتغال فيه كالجامعة أو السلك الدبلوماسي,علينا التشجيع على الانخراط في العمل المجتمعي. تعلن وزارة الخارجية عن فتح باب التسجيل على الوظائف المشار إليها.,
52012,"return, homecoming",a coming to or returning home,we celebrated his return from America,عَوْدَة للوَطَن,الوصول إلى الوطن أو المنزل بعد فترة من الابتعاد عنه,ذهب لرؤية والديه فور عودته إلى الوطن. عودته إلى الوطن  بعد غياب طويل تسببت بإحداث توتر,
53917,"farewell, leave-taking, parting, leave",the act of departing politely,the farewell was difficult for all,"تَوْدِيع, وَدَاع ,استئذان",عملية المغادرة بلطف,"أراد توديع صديقه لكنه لم يسمح له بالذهاب، يحرص الصبي على وداع والديه قبل الذهاب للمدرسة، الاستئذان للانصراف من الأخلاق الرفيعة",
54733,withdrawal,the act of withdrawing,she made a withdrawal from her account,اِنْسِحَاب,عملية الرجوع عن المكان الأصلي للشيء بحيث لا يعود موجوداً.,أعطى القائد أمراً بانسحاب القوات من المعركة,
55641,evacuation,the act of evacuating; leaving a place in an orderly fashion; especially for protection,evacuation of civilians continued during the war,"إِخْلاء, إِجْلاء",عملية إخلاء المكان من الناس. بالأخص من أجل حمايتهم,عليك إخلاء المنزل بعد انتهاء العقد. تم إجلاء السكان عندما ثار البركان.,
56135,"desertion, defection, abandonment",withdrawing support or help despite allegiance or responsibility,the abandonment of her husband left her helpless,"هِجْرَان  هَجْر, تَخَلٍّ عن",ترك الشيء والانسحاب من مسؤوليته,هجران/ هجر زوجها لها جعلها حزينة طول الوقت. نقص المال أدى إلى التخلي عن هذا المشروع.,
56907,"emigration, out-migration, expatriation",migration from a place (especially migration from your native country in order to settle in another),emigration has notably increased over the last five years,هِجْرَة,مغادرة المكان الأصلي للاستقرار في مكان آخر,هجرة العلماء كارثة كبرى للبلاد. زادت الهجرة مؤخراً إلى بلاد أكثر أماناً.,
57732,retreat,(military) withdrawal of troops to a more favorable position to escape the enemy's superior forces or after a defeat,the enemy was forced to etreat," تَرَاجُع, اِنْسِحَاب","(عسكري) ، ترك الجنود لمواقعهم إلى مواقع أكثر أماناً للنجاة من العدوأوبعد الهزيمة",أُجبر العدو على التراجع . أصدر القائد أمراً بالانسحاب.,
58126,"disengagement, fallback, pullout",to break off a military action with an enemy,the peace plan was based on the pullout from the occupied country,فَضّ اِشْتِبَاك,قطع عملية عسكرية مع العدو,تم إبرام اتفاقية لفض الاشتباك بين البلدين.,
58477,sailing,the departure of a vessel from a port,his love for sailing is well known,إِبْحَار,"مغادرة المركب من الميناءوالذهاب في عرض البحر، الملاحة البحرية",يعد الإبحار أحد الرياضات المائية  التي يهتم لها العديد من الناس,
59339,exit,the act of going out,when she arrived he made a quick exit,"مُغَادَرَة, خُرُوج",عملية ترك المكان إلى مكان آخر,يرجى توجه المسافرين إلى بوابة المغادرة. الخروج من هذا المكان هوكل ما أتمناه الآن.,
59563,"flight, escape",the act of escaping physically,his flight was an indication of his guilt,"هُرُوب, فِرَار",عملية الإفلات أو النجاة جسدياً,استطاع الأرنب الهروب من الأس.  فراره كان دليلاً على ارتكابه الذنب,
62110,"dispatch, despatch, shipment",the act of sending off something,the food supplies are ready for immediate dispatch,"شَحْن, إِرْسَال",عملية نقل أو إرسال دفعة كبيرة من البضائع في وقت واحد إلى مكان ما,يتم شحن معظم البضائع عن طريق البحر. المواد الغذائية جاهزة لإرسالها مباشرة.,
63626,attainment,the act of achieving an aim,the attainment of independence," ّتَحْقِيْق, إِحْرَاز, نَيْل,حُصُول عَلَى",عملية النجاح في الوصول إلى شيء ما وتحقيق هدف,تعبَتْ كثيراً للحصول على استقلالها. أتمنى تحقيق جميع أمنياتي يوماً ما. نأمل إحراز المزيد من الأهداف.  نيل النجاح ليس بالأمر السهل.,
